iter,strategy,num queries,domain size,leaf size,range size,distribution,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
0,additional,1000000,1000000,1000,100000,normal,985,1015,351,102061274,0,0,0,0,0,0,0,0,132.086,0,6.48012,138.566
1,additional,1000000,1000000,1000,100000,normal,985,1015,351,102061274,0,0,0,0,0,0,0,0,131.283,0,6.53006,137.813
2,additional,1000000,1000000,1000,100000,normal,985,1015,351,102061274,0,0,0,0,0,0,0,0,131.137,0,6.39976,137.537
3,additional,1000000,1000000,1000,100000,normal,985,1015,351,102061274,0,0,0,0,0,0,0,0,131.767,0,6.41367,138.181
4,additional,1000000,1000000,1000,100000,normal,985,1015,351,102061274,0,0,0,0,0,0,0,0,131.096,0,6.4082,137.504
0,additional,1000000,1000000,10000,100000,normal,8928,112,36,12058739,0,0,0,0,0,0,0,0,3.01551,0,0.399444,3.41496
1,additional,1000000,1000000,10000,100000,normal,8928,112,36,12058739,0,0,0,0,0,0,0,0,3.02161,0,0.400242,3.42186
2,additional,1000000,1000000,10000,100000,normal,8928,112,36,12058739,0,0,0,0,0,0,0,0,2.9978,0,0.398231,3.39603
3,additional,1000000,1000000,10000,100000,normal,8928,112,36,12058739,0,0,0,0,0,0,0,0,3.01187,0,0.400217,3.41209
4,additional,1000000,1000000,10000,100000,normal,8928,112,36,12058739,0,0,0,0,0,0,0,0,3.01522,0,0.399823,3.41505
0,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.159524,0,0.103639,0.263163
1,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.159339,0,0.0917041,0.251043
2,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.161247,0,0.0914812,0.252728
3,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.158386,0,0.0923168,0.250703
4,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.158873,0,0.0916448,0.250518
0,additional,1000000,1000000,250000,100000,normal,199999,5,3,1444721,0,0,0,0,0,0,0,0,0.0818059,0,0.0664408,0.148247
1,additional,1000000,1000000,250000,100000,normal,199999,5,3,1444721,0,0,0,0,0,0,0,0,0.0815187,0,0.0669678,0.148486
2,additional,1000000,1000000,250000,100000,normal,199999,5,3,1444721,0,0,0,0,0,0,0,0,0.0814237,0,0.0668119,0.148236
3,additional,1000000,1000000,250000,100000,normal,199999,5,3,1444721,0,0,0,0,0,0,0,0,0.0841947,0,0.0664763,0.150671
4,additional,1000000,1000000,250000,100000,normal,199999,5,3,1444721,0,0,0,0,0,0,0,0,0.0819426,0,0.0661121,0.148055
0,lazy,1000000,1000000,1000,100000,normal,985,1015,351,102062226,102061231,1022,971,8,5.313133,0.000140,0.000363,0.000021,133.941,5.31366,0,139.255
1,lazy,1000000,1000000,1000,100000,normal,985,1015,351,102062226,102061231,1022,971,8,5.291757,0.000143,0.000362,0.000020,134.321,5.29228,0,139.614
2,lazy,1000000,1000000,1000,100000,normal,985,1015,351,102062226,102061231,1022,971,8,5.391701,0.000136,0.000362,0.000021,133.884,5.39222,0,139.276
3,lazy,1000000,1000000,1000,100000,normal,985,1015,351,102062226,102061231,1022,971,8,5.386364,0.000137,0.000349,0.000022,134.293,5.38687,0,139.68
4,lazy,1000000,1000000,1000,100000,normal,985,1015,351,102062226,102061231,1022,971,8,5.424922,0.000135,0.000348,0.000021,134.082,5.42543,0,139.508
0,lazy,1000000,1000000,10000,100000,normal,8928,112,36,12058871,12058715,123,95,12,0.503266,0.000028,0.000042,0.000118,3.22499,0.503453,0,3.72845
1,lazy,1000000,1000000,10000,100000,normal,8928,112,36,12058871,12058715,123,95,12,0.499100,0.000028,0.000041,0.000120,3.22963,0.49929,0,3.72892
2,lazy,1000000,1000000,10000,100000,normal,8928,112,36,12058871,12058715,123,95,12,0.499210,0.000028,0.000043,0.000119,3.22508,0.4994,0,3.72448
3,lazy,1000000,1000000,10000,100000,normal,8928,112,36,12058871,12058715,123,95,12,0.501207,0.000028,0.000044,0.000120,3.24542,0.501399,0,3.74682
4,lazy,1000000,1000000,10000,100000,normal,8928,112,36,12058871,12058715,123,95,12,0.498239,0.000028,0.000043,0.000123,3.21052,0.498434,0,3.70895
0,lazy,1000000,1000000,100000,100000,normal,62499,16,6,2577977,2577894,37,12,22,0.095034,0.000055,0.000027,0.000828,0.162833,0.0959433,0,0.258776
1,lazy,1000000,1000000,100000,100000,normal,62499,16,6,2577977,2577894,37,12,22,0.094341,0.000055,0.000011,0.000818,0.161366,0.0952249,0,0.256591
2,lazy,1000000,1000000,100000,100000,normal,62499,16,6,2577977,2577894,37,12,22,0.094220,0.000056,0.000011,0.000820,0.161434,0.0951073,0,0.256541
3,lazy,1000000,1000000,100000,100000,normal,62499,16,6,2577977,2577894,37,12,22,0.094638,0.000057,0.000012,0.000852,0.16198,0.0955587,0,0.257539
