iter,strategy,num queries,domain size,leaf size,range size,distribution,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
0,additional,1000000,1000000,1000,10000,normal,909,1099,53,11970263,0,0,0,0,0,0,0,0,3.65486,0,0.86826,4.52312
1,additional,1000000,1000000,1000,10000,normal,909,1099,53,11970263,0,0,0,0,0,0,0,0,3.65231,0,0.858392,4.5107
2,additional,1000000,1000000,1000,10000,normal,909,1099,53,11970263,0,0,0,0,0,0,0,0,3.64129,0,0.857455,4.49875
3,additional,1000000,1000000,1000,10000,normal,909,1099,53,11970263,0,0,0,0,0,0,0,0,3.64428,0,0.867495,4.51177
4,additional,1000000,1000000,1000,10000,normal,909,1099,53,11970263,0,0,0,0,0,0,0,0,3.65183,0,0.867757,4.51959
0,additional,1000000,1000000,10000,10000,normal,6756,148,11,2482748,0,0,0,0,0,0,0,0,0.238519,0,0.120431,0.35895
1,additional,1000000,1000000,10000,10000,normal,6756,148,11,2482748,0,0,0,0,0,0,0,0,0.239831,0,0.121554,0.361385
2,additional,1000000,1000000,10000,10000,normal,6756,148,11,2482748,0,0,0,0,0,0,0,0,0.241548,0,0.120816,0.362364
3,additional,1000000,1000000,10000,10000,normal,6756,148,11,2482748,0,0,0,0,0,0,0,0,0.238486,0,0.120303,0.358789
4,additional,1000000,1000000,10000,10000,normal,6756,148,11,2482748,0,0,0,0,0,0,0,0,0.237149,0,0.120907,0.358056
0,additional,1000000,1000000,100000,10000,normal,62664,16,5,1151451,0,0,0,0,0,0,0,0,0.0774577,0,0.0605638,0.138021
1,additional,1000000,1000000,100000,10000,normal,62664,16,5,1151451,0,0,0,0,0,0,0,0,0.078874,0,0.0595931,0.138467
2,additional,1000000,1000000,100000,10000,normal,62664,16,5,1151451,0,0,0,0,0,0,0,0,0.0775455,0,0.0612625,0.138808
3,additional,1000000,1000000,100000,10000,normal,62664,16,5,1151451,0,0,0,0,0,0,0,0,0.0785165,0,0.0604142,0.138931
4,additional,1000000,1000000,100000,10000,normal,62664,16,5,1151451,0,0,0,0,0,0,0,0,0.0775399,0,0.0617187,0.139259
0,additional,1000000,1000000,250000,10000,normal,199999,5,3,1040199,0,0,0,0,0,0,0,0,0.0597731,0,0.0508616,0.110635
1,additional,1000000,1000000,250000,10000,normal,199999,5,3,1040199,0,0,0,0,0,0,0,0,0.060721,0,0.0525945,0.113316
2,additional,1000000,1000000,250000,10000,normal,199999,5,3,1040199,0,0,0,0,0,0,0,0,0.0602939,0,0.051171,0.111465
3,additional,1000000,1000000,250000,10000,normal,199999,5,3,1040199,0,0,0,0,0,0,0,0,0.0602493,0,0.0511275,0.111377
4,additional,1000000,1000000,250000,10000,normal,199999,5,3,1040199,0,0,0,0,0,0,0,0,0.0604018,0,0.0502675,0.110669
0,lazy,1000000,1000000,1000,10000,normal,909,1099,53,11970858,11970050,1127,928,29,0.636038,0.000157,0.000349,0.000038,3.78797,0.636583,0,4.42455
1,lazy,1000000,1000000,1000,10000,normal,909,1099,53,11970858,11970050,1127,928,29,0.629553,0.000158,0.000328,0.000039,3.77205,0.630078,0,4.40213
2,lazy,1000000,1000000,1000,10000,normal,909,1099,53,11970858,11970050,1127,928,29,0.625146,0.000158,0.000332,0.000040,3.77119,0.625676,0,4.39686
3,lazy,1000000,1000000,1000,10000,normal,909,1099,53,11970858,11970050,1127,928,29,0.651777,0.000158,0.000327,0.000039,3.78606,0.652301,0,4.43836
4,lazy,1000000,1000000,1000,10000,normal,909,1099,53,11970858,11970050,1127,928,29,0.631011,0.000158,0.000334,0.000041,3.77071,0.631543,0,4.40225
