iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
1,lazy,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107532,107444,88559,9,49475,0.011461,0.021675,0.000020,0.017196,0.0484654,0.0503524,0,0.0988178
2,lazy,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107532,107444,88559,9,49475,0.011455,0.021427,0.000020,0.017117,0.0489491,0.0500187,0,0.0989678
3,lazy,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107532,107444,88559,9,49475,0.011571,0.021355,0.000020,0.017108,0.0485329,0.0500531,0,0.098586
4,lazy,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107532,107444,88559,9,49475,0.011314,0.020990,0.000019,0.017239,0.0483162,0.0495613,0,0.0978776
0,lazy,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,224106,126107,89092,39370,6803,0.015329,0.023777,0.016485,0.002466,0.05747,0.0580571,0,0.115527
1,lazy,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,224106,126107,89092,39370,6803,0.015385,0.023880,0.016385,0.002457,0.0575222,0.0581078,0,0.11563
2,lazy,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,224106,126107,89092,39370,6803,0.015187,0.024168,0.016516,0.002435,0.0573996,0.0583066,0,0.115706
3,lazy,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,224106,126107,89092,39370,6803,0.016273,0.025020,0.016508,0.002458,0.0590974,0.0602593,0,0.119357
4,lazy,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,224106,126107,89092,39370,6803,0.015362,0.023807,0.016369,0.002497,0.0573029,0.0580354,0,0.115338
0,eager,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.012560,0.027947,0.000000,0.022724,0.0470976,0.0632305,0,0.110328
1,eager,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.012933,0.028383,0.000000,0.022943,0.0475287,0.0642592,0,0.111788
2,eager,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.013094,0.028665,0.000000,0.022915,0.0476947,0.0646748,0,0.11237
3,eager,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.012647,0.028168,0.000000,0.022780,0.0469765,0.0635955,0,0.110572
4,eager,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.012911,0.028241,0.000000,0.022890,0.0481354,0.0640419,0,0.112177
0,eager,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.012962,0.028198,0.000000,0.022841,0.0475588,0.0640011,0,0.11156
1,eager,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.013000,0.028188,0.000000,0.023077,0.0478472,0.0642649,0,0.112112
2,eager,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.012957,0.028831,0.000000,0.022882,0.0478084,0.0646709,0,0.112479
3,eager,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.012888,0.028171,0.000000,0.022603,0.0465625,0.0636616,0,0.110224
4,eager,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.012609,0.028973,0.000000,0.022697,0.0472747,0.0642791,0,0.111554
