iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
0,additional,normal,100000,1000000000,max_range,1000,1,500,1000,500,97572,36,104809,0,0,0,0,0,0,0,0,0.047335,0,0.0704532,0.117788
1,additional,normal,100000,1000000000,max_range,1000,1,500,1000,500,97572,36,104809,0,0,0,0,0,0,0,0,0.0471823,0,0.070422,0.117604
2,additional,normal,100000,1000000000,max_range,1000,1,500,1000,500,97572,36,104809,0,0,0,0,0,0,0,0,0.0468131,0,0.0732606,0.120074
3,additional,normal,100000,1000000000,max_range,1000,1,500,1000,500,97572,36,104809,0,0,0,0,0,0,0,0,0.0476581,0,0.0721323,0.11979
4,additional,normal,100000,1000000000,max_range,1000,1,500,1000,500,97572,36,104809,0,0,0,0,0,0,0,0,0.0471855,0,0.0701203,0.117306
0,additional,normal,100000,1000000000,max_range,10000,1,5002,10000,4976,78639,35,134528,0,0,0,0,0,0,0,0,0.0475071,0,0.0668929,0.1144
1,additional,normal,100000,1000000000,max_range,10000,1,5002,10000,4976,78639,35,134528,0,0,0,0,0,0,0,0,0.0475876,0,0.0668107,0.114398
2,additional,normal,100000,1000000000,max_range,10000,1,5002,10000,4976,78639,35,134528,0,0,0,0,0,0,0,0,0.0468773,0,0.0680756,0.114953
3,additional,normal,100000,1000000000,max_range,10000,1,5002,10000,4976,78639,35,134528,0,0,0,0,0,0,0,0,0.0488364,0,0.0660361,0.114872
4,additional,normal,100000,1000000000,max_range,10000,1,5002,10000,4976,78639,35,134528,0,0,0,0,0,0,0,0,0.0473725,0,0.0663129,0.113685
0,additional,normal,100000,1000000000,max_range,100000,1,50025,100000,59926,16553,32,175403,0,0,0,0,0,0,0,0,0.0418552,0,0.0354265,0.0772817
1,additional,normal,100000,1000000000,max_range,100000,1,50025,100000,59926,16553,32,175403,0,0,0,0,0,0,0,0,0.0415377,0,0.0358473,0.0773851
2,additional,normal,100000,1000000000,max_range,100000,1,50025,100000,59926,16553,32,175403,0,0,0,0,0,0,0,0,0.0414996,0,0.0364759,0.0779755
3,additional,normal,100000,1000000000,max_range,100000,1,50025,100000,59926,16553,32,175403,0,0,0,0,0,0,0,0,0.0421899,0,0.035927,0.0781168
4,additional,normal,100000,1000000000,max_range,100000,1,50025,100000,59926,16553,32,175403,0,0,0,0,0,0,0,0,0.0417905,0,0.0357834,0.0775738
0,additional,normal,100000,1000000000,max_range,1000000,1,500250,1000000,613095,1631,20,180977,0,0,0,0,0,0,0,0,0.0258652,0,0.0197025,0.0455677
1,additional,normal,100000,1000000000,max_range,1000000,1,500250,1000000,613095,1631,20,180977,0,0,0,0,0,0,0,0,0.0261077,0,0.019186,0.0452938
2,additional,normal,100000,1000000000,max_range,1000000,1,500250,1000000,613095,1631,20,180977,0,0,0,0,0,0,0,0,0.0261919,0,0.0201458,0.0463377
3,additional,normal,100000,1000000000,max_range,1000000,1,500250,1000000,613095,1631,20,180977,0,0,0,0,0,0,0,0,0.0262295,0,0.0195915,0.0458209
4,additional,normal,100000,1000000000,max_range,1000000,1,500250,1000000,613095,1631,20,180977,0,0,0,0,0,0,0,0,0.0270399,0,0.0197273,0.0467672
0,additional,normal,100000,1000000000,max_range,10000000,1,5002500,10000000,6369284,157,12,178303,0,0,0,0,0,0,0,0,0.0176413,0,0.0110287,0.02867
1,additional,normal,100000,1000000000,max_range,10000000,1,5002500,10000000,6369284,157,12,178303,0,0,0,0,0,0,0,0,0.0176843,0,0.0113331,0.0290174
2,additional,normal,100000,1000000000,max_range,10000000,1,5002500,10000000,6369284,157,12,178303,0,0,0,0,0,0,0,0,0.0175669,0,0.0113755,0.0289424
3,additional,normal,100000,1000000000,max_range,10000000,1,5002500,10000000,6369284,157,12,178303,0,0,0,0,0,0,0,0,0.021749,0,0.0110545,0.0328035
4,additional,normal,100000,1000000000,max_range,10000000,1,5002500,10000000,6369284,157,12,178303,0,0,0,0,0,0,0,0,0.0176044,0,0.0110723,0.0286767
0,lazy,normal,100000,1000000000,max_range,1000,1,500,1000,500,97572,36,105014,100120,98789,2379,1218,0.010607,0.033629,0.001033,0.000431,0.0528059,0.0456989,0,0.0985048
1,lazy,normal,100000,1000000000,max_range,1000,1,500,1000,500,97572,36,105014,100120,98789,2379,1218,0.010378,0.033075,0.001001,0.000414,0.0519425,0.0448676,0,0.0968101
2,lazy,normal,100000,1000000000,max_range,1000,1,500,1000,500,97572,36,105014,100120,98789,2379,1218,0.010643,0.033525,0.001013,0.000423,0.052584,0.0456045,0,0.0981885
3,lazy,normal,100000,1000000000,max_range,1000,1,500,1000,500,97572,36,105014,100120,98789,2379,1218,0.010590,0.033968,0.001021,0.000421,0.0525386,0.0460002,0,0.0985388
4,lazy,normal,100000,1000000000,max_range,1000,1,500,1000,500,97572,36,105014,100120,98789,2379,1218,0.010977,0.034678,0.001011,0.000422,0.0537493,0.0470882,0,0.100838
0,lazy,normal,100000,1000000000,max_range,10000,1,5002,10000,4976,78639,35,144364,108092,89744,14353,11067,0.012118,0.024275,0.006436,0.003718,0.0518997,0.046547,0,0.0984467
