iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
0,lazy,normal,100000,1000000000,100000,1000000,1000000,1000000,1000000,91364,10945,105,1199496,1192512,11010,9096,66,0.088600,0.002103,0.003388,0.000035,0.490538,0.0941259,0,0.584664
1,lazy,normal,100000,1000000000,100000,1000000,1000000,1000000,1000000,91364,10945,105,1199496,1192512,11010,9096,66,0.087838,0.002152,0.003313,0.000035,0.486959,0.0933374,0,0.580296
2,lazy,normal,100000,1000000000,100000,1000000,1000000,1000000,1000000,91364,10945,105,1199496,1192512,11010,9096,66,0.090676,0.002196,0.003365,0.000034,0.488421,0.0962706,0,0.584691
3,lazy,normal,100000,1000000000,100000,1000000,1000000,1000000,1000000,91364,10945,105,1199496,1192512,11010,9096,66,0.088414,0.002134,0.003356,0.000036,0.488473,0.0939395,0,0.582413
4,lazy,normal,100000,1000000000,100000,1000000,1000000,1000000,1000000,91364,10945,105,1199496,1192512,11010,9096,66,0.090363,0.002171,0.003379,0.000032,0.487799,0.0959457,0,0.583744
0,lazy,normal,100000,1000000000,10000,1000000,1000000,1000000,1000000,9901,100989,992,10234685,10196785,100995,97097,7,1.362300,0.022755,0.034244,0.000006,22.4152,1.4193,0,23.8345
1,lazy,normal,100000,1000000000,10000,1000000,1000000,1000000,1000000,9901,100989,992,10234685,10196785,100995,97097,7,1.379676,0.023068,0.034388,0.000006,22.6398,1.43714,0,24.0769
2,lazy,normal,100000,1000000000,10000,1000000,1000000,1000000,1000000,9901,100989,992,10234685,10196785,100995,97097,7,1.382200,0.023088,0.034285,0.000007,22.5004,1.43958,0,23.94
3,lazy,normal,100000,1000000000,10000,1000000,1000000,1000000,1000000,9901,100989,992,10234685,10196785,100995,97097,7,1.378652,0.022726,0.034318,0.000006,22.8168,1.4357,0,24.2525
4,lazy,normal,100000,1000000000,10000,1000000,1000000,1000000,1000000,9901,100989,992,10234685,10196785,100995,97097,7,1.384086,0.023376,0.034570,0.000007,22.8165,1.44204,0,24.2586
0,eager,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,6060540,165,14,116570,116566,1879,2,1652,0.007439,0.000475,0.000007,0.001028,0.0125013,0.00894966,0,0.021451
1,eager,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,6060540,165,14,116570,116566,1879,2,1652,0.006449,0.000569,0.000008,0.001130,0.0121593,0.00815526,0,0.0203146
2,eager,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,6060540,165,14,116570,116566,1879,2,1652,0.006650,0.000481,0.000007,0.001023,0.0124242,0.00816153,0,0.0205857
3,eager,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,6060540,165,14,116570,116566,1879,2,1652,0.006581,0.000502,0.000007,0.001041,0.0123746,0.00813086,0,0.0205055
4,eager,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,6060540,165,14,116570,116566,1879,2,1652,0.006439,0.000467,0.000007,0.000998,0.0122002,0.0079109,0,0.0201111
0,eager,normal,100000,1000000000,1000000,1000000,1000000,1000000,1000000,686805,1456,21,245248,243301,1996,967,541,0.019796,0.000484,0.000574,0.000248,0.0360639,0.0211018,0,0.0571657
1,eager,normal,100000,1000000000,1000000,1000000,1000000,1000000,1000000,686805,1456,21,245248,243301,1996,967,541,0.019538,0.000461,0.000549,0.000249,0.0362891,0.0207972,0,0.0570862
2,eager,normal,100000,1000000000,1000000,1000000,1000000,1000000,1000000,686805,1456,21,245248,243301,1996,967,541,0.020173,0.000460,0.000586,0.000249,0.0367351,0.0214678,0,0.0582029
3,eager,normal,100000,1000000000,1000000,1000000,1000000,1000000,1000000,686805,1456,21,245248,243301,1996,967,541,0.019512,0.000462,0.000564,0.000249,0.0362963,0.0207863,0,0.0570826
4,eager,normal,100000,1000000000,1000000,1000000,1000000,1000000,1000000,686805,1456,21,245248,243301,1996,967,541,0.019301,0.000456,0.000551,0.000271,0.0364349,0.0205789,0,0.0570138
