iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time,exec time,post filtering time,total time
0,additional,normal,100,100000,10000,10000,10000,10000,10000,7644,13,6,231,0,0,0,0,0,0,0,0,9.4749e-05,0,7.501e-05,0.000169759,0.0681895,0.0013045,0.0696861
1,additional,normal,100,100000,10000,10000,10000,10000,10000,7644,13,6,231,0,0,0,0,0,0,0,0,9.4435e-05,0,7.4355e-05,0.00016879,0.0699735,0.00137739,0.0715421
2,additional,normal,100,100000,10000,10000,10000,10000,10000,7644,13,6,231,0,0,0,0,0,0,0,0,9.2441e-05,0,7.4574e-05,0.000167015,0.0691515,0.00132852,0.0706693
3,additional,normal,100,100000,10000,10000,10000,10000,10000,7644,13,6,231,0,0,0,0,0,0,0,0,9.44e-05,0,7.5644e-05,0.000170044,0.0684213,0.00130435,0.069918
4,additional,normal,100,100000,10000,10000,10000,10000,10000,7644,13,6,231,0,0,0,0,0,0,0,0,2.6358e-05,0,2.0852e-05,4.721e-05,0.0466139,0.00101058,0.0476778
0,lazy,normal,1000,100000,10000,10000,10000,10000,10000,7681,13,6,2319,2298,21,8,9,0.000414,0.000021,0.000025,0.000023,0.000730667,0.000482992,0,0.00121366,0.0708817,5.34e-07,0.0720959
1,lazy,normal,1000,100000,10000,10000,10000,10000,10000,7681,13,6,2319,2298,21,8,9,0.000413,0.000018,0.000024,0.000022,0.000715249,0.000476728,0,0.00119198,0.0475626,3.4e-07,0.0487549
2,lazy,normal,1000,100000,10000,10000,10000,10000,10000,7681,13,6,2319,2298,21,8,9,0.000426,0.000019,0.000025,0.000022,0.000700836,0.000492893,0,0.00119373,0.0678204,4.95e-07,0.0690147
3,lazy,normal,1000,100000,10000,10000,10000,10000,10000,7681,13,6,2319,2298,21,8,9,0.000422,0.000019,0.000024,0.000024,0.000738275,0.000488245,0,0.00122652,0.0340788,2.24e-07,0.0353056
4,lazy,normal,1000,100000,10000,10000,10000,10000,10000,7681,13,6,2319,2298,21,8,9,0.000425,0.000019,0.000025,0.000023,0.000722928,0.000491564,0,0.00121449,0.0345575,2.38e-07,0.0357723
0,eager,normal,1000,100000,10000,10000,10000,10000,10000,7681,13,6,2314,2298,21,8,9,0.000118,0.000006,0.000006,0.000007,0.000148056,0.000136887,0,0.000284943,0.0336084,0.00659789,0.0404912
1,eager,normal,1000,100000,10000,10000,10000,10000,10000,7681,13,6,2314,2298,21,8,9,0.000526,0.000028,0.000028,0.000032,0.000730724,0.000614511,0,0.00134523,0.0337436,0.00642982,0.0415186
2,eager,normal,1000,100000,10000,10000,10000,10000,10000,7681,13,6,2314,2298,21,8,9,0.000531,0.000028,0.000027,0.000032,0.000725564,0.000617551,0,0.00134311,0.0564106,0.0106418,0.0683955
3,eager,normal,1000,100000,10000,10000,10000,10000,10000,7681,13,6,2314,2298,21,8,9,0.000518,0.000029,0.000028,0.000033,0.000695128,0.000609316,0,0.00130444,0.0647885,0.0105122,0.0766052
4,eager,normal,1000,100000,10000,10000,10000,10000,10000,7681,13,6,2314,2298,21,8,9,0.000521,0.000028,0.000028,0.000031,0.00070473,0.000607772,0,0.0013125,0.065652,0.00995696,0.0769215
0,additional,normal,1000,100000,10000,10000,10000,10000,10000,7681,13,6,2314,0,0,0,0,0,0,0,0,0.000751064,0,0.000444853,0.00119592,0.0340122,0.00638711,0.0417971
1,additional,normal,1000,100000,10000,10000,10000,10000,10000,7681,13,6,2314,0,0,0,0,0,0,0,0,0.000708906,0,0.000442545,0.00115145,0.0644007,0.0110166,0.0767829
2,additional,normal,1000,100000,10000,10000,10000,10000,10000,7681,13,6,2314,0,0,0,0,0,0,0,0,0.00067922,0,0.000445513,0.00112473,0.0651128,0.0113889,0.0778278
3,additional,normal,1000,100000,10000,10000,10000,10000,10000,7681,13,6,2314,0,0,0,0,0,0,0,0,0.000679176,0,0.000472632,0.00115181,0.0629046,0.0103181,0.074576
4,additional,normal,1000,100000,10000,10000,10000,10000,10000,7681,13,6,2314,0,0,0,0,0,0,0,0,0.000688818,0,0.000452627,0.00114145,0.0420505,0.00641266,0.0498061
0,lazy,normal,10000,100000,10000,10000,10000,10000,10000,7690,13,6,23211,23190,26,8,14,0.000869,0.000005,0.000005,0.000026,0.00147879,0.000905495,0,0.00238429,0.0364084,2.93e-07,0.038793
1,lazy,normal,10000,100000,10000,10000,10000,10000,10000,7690,13,6,23211,23190,26,8,14,0.004085,0.000026,0.000024,0.000116,0.00675935,0.00425069,0,0.01101,0.059107,5.88e-07,0.0701176
2,lazy,normal,10000,100000,10000,10000,10000,10000,10000,7690,13,6,23211,23190,26,8,14,0.004060,0.000025,0.000025,0.000115,0.00662085,0.00422599,0,0.0108468,0.0611768,4.1e-07,0.0720241
