iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time,exec time,post filtering time,total time
0,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,0,0,0,0,0,0,0,0,0.000108091,0,7.7386e-05,0.000185477,0.355271,0.00877063,0.364252
1,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,0,0,0,0,0,0,0,0,0.000107654,0,7.7166e-05,0.00018482,0.353403,0.00872658,0.362339
2,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,0,0,0,0,0,0,0,0,0.000107148,0,7.7732e-05,0.00018488,0.321249,0.00854221,0.330001
3,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,0,0,0,0,0,0,0,0,5.823e-05,0,4.2178e-05,0.000100408,0.323338,0.00848305,0.331935
4,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,0,0,0,0,0,0,0,0,0.000108421,0,0.000108337,0.000216758,0.353456,0.00842392,0.362121
0,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000488,0.000024,0.000043,0.000039,0.000813111,0.000594104,0,0.00140722,0.359479,0.0773681,0.438254
1,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000499,0.000023,0.000040,0.000040,0.000812483,0.000603098,0,0.00141558,0.364811,0.0770808,0.443308
2,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000498,0.000023,0.000043,0.000039,0.000820102,0.000603829,0,0.00142393,0.360398,0.0771726,0.438994
3,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000475,0.000023,0.000041,0.000040,0.000807493,0.000578942,0,0.00138644,0.324439,0.0872933,0.413119
4,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000504,0.000023,0.000040,0.000039,0.000797478,0.000606437,0,0.00140391,0.333782,0.0769592,0.412145
0,eager,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,2587,29,12,14,0.000629,0.000043,0.000042,0.000059,0.000826203,0.000773755,0,0.00159996,0.358001,0.0770067,0.436608
1,eager,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,2587,29,12,14,0.000590,0.000043,0.000042,0.000058,0.000819008,0.000733008,0,0.00155202,0.360377,0.077074,0.439003
2,eager,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,2587,29,12,14,0.000266,0.000019,0.000019,0.000026,0.000366408,0.000329144,0,0.000695552,0.327668,0.0730753,0.401439
3,eager,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,2587,29,12,14,0.000594,0.000044,0.000041,0.000058,0.000843147,0.000736713,0,0.00157986,0.361841,0.0771716,0.440592
4,eager,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,2587,29,12,14,0.000390,0.000024,0.000023,0.000034,0.000511159,0.000470867,0,0.000982026,0.35724,0.0776433,0.435865
0,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,0,0,0,0,0,0,0,0,0.000788756,0,0.000522009,0.00131077,0.326298,0.0725157,0.400353
1,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,0,0,0,0,0,0,0,0,0.000800031,0,0.000541469,0.0013415,0.326099,0.0726995,0.400368
2,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,0,0,0,0,0,0,0,0,0.000798121,0,0.000521931,0.00132005,0.326167,0.0762703,0.403984
3,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,0,0,0,0,0,0,0,0,0.000785115,0,0.000510764,0.00129588,0.366706,0.0769332,0.445163
4,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,0,0,0,0,0,0,0,0,0.000782271,0,0.000530127,0.0013124,0.360284,0.0766444,0.438469
0,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.004609,0.000027,0.000040,0.000069,0.00759329,0.00474497,0,0.0123383,0.350533,0.756559,1.11943
1,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.004968,0.000026,0.000043,0.000075,0.00765439,0.00511154,0,0.0127659,0.354794,0.753984,1.12154
2,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.004624,0.000026,0.000041,0.000101,0.00756256,0.00479143,0,0.012354,0.352059,0.754544,1.11896
3,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.004761,0.000026,0.000042,0.000069,0.00766715,0.00489677,0,0.0125639,0.350172,0.758974,1.12171
4,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.004982,0.000028,0.000043,0.000069,0.00751921,0.0051209,0,0.0126401,0.35065,0.754848,1.11814
0,eager,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,26156,31,12,16,0.005829,0.000079,0.000043,0.000124,0.00770439,0.00607451,0,0.0137789,0.350564,0.758696,1.12304
1,eager,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,26156,31,12,16,0.006063,0.000078,0.000041,0.000131,0.00762622,0.00631244,0,0.0139387,0.353482,0.756053,1.12347
2,eager,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,26156,31,12,16,0.002944,0.000061,0.000447,0.000092,0.00274735,0.0035437,0,0.00629105,0.32234,0.716584,1.04521
3,eager,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,26156,31,12,16,0.002511,0.000058,0.000043,0.000088,0.0033071,0.00269939,0,0.0060065,0.324386,0.856628,1.18702
4,eager,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,26156,31,12,16,0.006070,0.000076,0.000042,0.000123,0.00761161,0.0063106,0,0.0139222,0.349713,0.758771,1.12241
