iters,num queries,time,checksum
0,10,0.124237,880760200000
1,10,0.123754,880760200000
0,100,1.29862,9823481200000
1,100,1.29209,9823481200000
0,1000,13.5231,99704371600000
1,1000,13.0207,99704371600000
0,10000,130.908,1001783458000000
1,10000,152.471,1001783458000000
0,100000,1304.91,10009306629200000
1,100000,1315.63,10009306629200000
