iter,strategy,num queries,domain size,leaf size,range size,distribution,avg node length,# leaf nodes,max tree depth,queries indexed,insert ops,transfer ops,share ops,merge ops,insert time,transfer time,share time,merge time,mapping time,tree time,total time
2,lazy,1000,1000000,500000,100000,normal,332863,3,2,1224,1210,24,1,22,0.000100,0.000018,0.000005,0.000042,0.000164643,0.000139337,0.00030398
3,lazy,1000,1000000,500000,100000,normal,332863,3,2,1224,1210,24,1,22,0.000099,0.000017,0.000008,0.000041,0.000165824,0.000139842,0.000305666
4,lazy,1000,1000000,500000,100000,normal,332863,3,2,1224,1210,24,1,22,0.000103,0.000017,0.000008,0.000041,0.000168587,0.000138421,0.000307008
0,lazy,1000,1000000,750000,100000,normal,499295,2,1,1095,1095,24,0,23,0.000083,0.000009,0.000000,0.000055,0.000146902,0.000118428,0.00026533
1,lazy,1000,1000000,750000,100000,normal,499295,2,1,1095,1095,24,0,23,0.000083,0.000009,0.000000,0.000047,0.00013921,0.000117912,0.000257122
2,lazy,1000,1000000,750000,100000,normal,499295,2,1,1095,1095,24,0,23,0.000085,0.000010,0.000000,0.000049,0.000143551,0.000120619,0.00026417
3,lazy,1000,1000000,750000,100000,normal,499295,2,1,1095,1095,24,0,23,0.000084,0.000009,0.000000,0.000047,0.000140168,0.0001173,0.000257468
4,lazy,1000,1000000,750000,100000,normal,499295,2,1,1095,1095,24,0,23,0.000084,0.000009,0.000000,0.000047,0.000140063,0.00011933,0.000259393
0,lazy,1000,1000000,1000000,100000,normal,998590,1,0,1000,1000,13,0,13,0.000072,0.000013,0.000000,0.000075,0.000160121,9.1926e-05,0.000252047
1,lazy,1000,1000000,1000000,100000,normal,998590,1,0,1000,1000,13,0,13,0.000072,0.000013,0.000000,0.000075,0.000160389,0.000103324,0.000263713
2,lazy,1000,1000000,1000000,100000,normal,998590,1,0,1000,1000,13,0,13,0.000072,0.000013,0.000000,0.000075,0.000160175,9.2584e-05,0.000252759
3,lazy,1000,1000000,1000000,100000,normal,998590,1,0,1000,1000,13,0,13,0.000082,0.000015,0.000000,0.000085,0.000181918,0.000118664,0.000300582
4,lazy,1000,1000000,1000000,100000,normal,998590,1,0,1000,1000,13,0,13,0.000090,0.000016,0.000000,0.000089,0.000194964,0.000109877,0.000304841
0,eager,1000,1000000,100000,100000,normal,62411,16,6,2587,2543,27,12,12,0.000408,0.000026,0.000049,0.000027,0.000509622,0.000486661,0.000996283
1,eager,1000,1000000,100000,100000,normal,62411,16,6,2587,2543,27,12,12,0.000568,0.000033,0.000064,0.000036,0.000700747,0.000654379,0.00135513
2,eager,1000,1000000,100000,100000,normal,62411,16,6,2587,2543,27,12,12,0.000572,0.000036,0.000074,0.000039,0.000720929,0.000676472,0.0013974
3,eager,1000,1000000,100000,100000,normal,62411,16,6,2587,2543,27,12,12,0.000539,0.000034,0.000063,0.000036,0.000672463,0.000636532,0.001309
4,eager,1000,1000000,100000,100000,normal,62411,16,6,2587,2543,27,12,12,0.000530,0.000033,0.000064,0.000036,0.000662129,0.000636146,0.00129827
0,eager,1000,1000000,250000,100000,normal,199718,5,3,1466,1463,27,1,23,0.000292,0.000053,0.000006,0.000139,0.000490114,0.000336009,0.000826123
1,eager,1000,1000000,250000,100000,normal,199718,5,3,1466,1463,27,1,23,0.000280,0.000052,0.000006,0.000128,0.00046599,0.000334162,0.000800152
2,eager,1000,1000000,250000,100000,normal,199718,5,3,1466,1463,27,1,23,0.000279,0.000065,0.000006,0.000127,0.000477147,0.000351084,0.000828231
3,eager,1000,1000000,250000,100000,normal,199718,5,3,1466,1463,27,1,23,0.000284,0.000052,0.000006,0.000126,0.000468925,0.00033381,0.000802735
4,eager,1000,1000000,250000,100000,normal,199718,5,3,1466,1463,27,1,23,0.000283,0.000053,0.000007,0.000135,0.000478095,0.000337492,0.000815587
0,eager,1000,1000000,500000,100000,normal,332863,3,2,1213,1210,24,1,22,0.000272,0.000092,0.000013,0.000168,0.000545227,0.000267135,0.000812362
1,eager,1000,1000000,500000,100000,normal,332863,3,2,1213,1210,24,1,22,0.000256,0.000085,0.000013,0.000146,0.000500332,0.000264396,0.000764728
2,eager,1000,1000000,500000,100000,normal,332863,3,2,1213,1210,24,1,22,0.000267,0.000084,0.000013,0.000145,0.000509749,0.000265736,0.000775485
3,eager,1000,1000000,500000,100000,normal,332863,3,2,1213,1210,24,1,22,0.000263,0.000085,0.000013,0.000145,0.000505564,0.000261906,0.00076747
4,eager,1000,1000000,500000,100000,normal,332863,3,2,1213,1210,24,1,22,0.000264,0.000085,0.000013,0.000187,0.000548976,0.000302571,0.000851547
0,eager,1000,1000000,750000,100000,normal,499295,2,1,1095,1095,24,0,23,0.000199,0.000091,0.000000,0.000173,0.000462966,0.000225151,0.000688117
1,eager,1000,1000000,750000,100000,normal,499295,2,1,1095,1095,24,0,23,0.000208,0.000091,0.000000,0.000173,0.000472342,0.000225395,0.000697737
2,eager,1000,1000000,750000,100000,normal,499295,2,1,1095,1095,24,0,23,0.000202,0.000091,0.000000,0.000172,0.000465007,0.00022325,0.000688257
3,eager,1000,1000000,750000,100000,normal,499295,2,1,1095,1095,24,0,23,0.000202,0.000090,0.000000,0.000173,0.000464934,0.000222895,0.000687829
4,eager,1000,1000000,750000,100000,normal,499295,2,1,1095,1095,24,0,23,0.000200,0.000089,0.000000,0.000171,0.00046108,0.00022209,0.00068317
0,eager,1000,1000000,1000000,100000,normal,998590,1,0,1000,1000,13,0,13,0.000179,0.000138,0.000000,0.000252,0.000568519,0.000174588,0.000743107
1,eager,1000,1000000,1000000,100000,normal,998590,1,0,1000,1000,13,0,13,0.000178,0.000138,0.000000,0.000252,0.000568069,0.000174942,0.000743011
2,eager,1000,1000000,1000000,100000,normal,998590,1,0,1000,1000,13,0,13,0.000194,0.000143,0.000000,0.000274,0.000611027,0.000178103,0.00078913
3,eager,1000,1000000,1000000,100000,normal,998590,1,0,1000,1000,13,0,13,0.000179,0.000156,0.000000,0.000253,0.000588505,0.000174515,0.00076302
4,eager,1000,1000000,1000000,100000,normal,998590,1,0,1000,1000,13,0,13,0.000179,0.000140,0.000000,0.000252,0.000570455,0.000174294,0.000744749
