iter,distribution,num queries,strategy,domain,leaf size,range size,num leafs,avg,min,max,tree time,update time,additional time,results separation,query execution,total time
2,normal,1000,additional,1000000,100000,100000,15,66572,50760,95132,0.000526124,0.000169834,0.00017107,1.14934,0.369069,1.51893
3,normal,1000,additional,1000000,100000,100000,15,66572,50760,95132,0.000531059,0.000173687,0.000189991,1.1467,0.371979,1.51922
4,normal,1000,additional,1000000,100000,100000,15,66572,50760,95132,0.000597137,0.000192225,0.000191407,1.14963,0.36849,1.51871
0,normal,10000,lazy,1000000,100000,100000,15,66664,50760,95132,0.00236396,0.00102606,0,17.9724,0.363121,18.3379
1,normal,10000,lazy,1000000,100000,100000,15,66664,50760,95132,0.00229407,0.000980363,0,18.0296,0.36401,18.3959
2,normal,10000,lazy,1000000,100000,100000,15,66664,50760,95132,0.00551178,0.00228574,0,18.0427,0.369705,18.4179
3,normal,10000,lazy,1000000,100000,100000,15,66664,50760,95132,0.00227749,0.00094987,0,18.0257,0.364167,18.3922
4,normal,10000,lazy,1000000,100000,100000,15,66664,50760,95132,0.00232649,0.000980364,0,18.0515,0.362593,18.4165
0,normal,10000,eager,1000000,100000,100000,15,66664,50760,95132,0.00436159,0.00206418,0,18.6663,0.365113,19.0358
1,normal,10000,eager,1000000,100000,100000,15,66664,50760,95132,0.00425455,0.00199585,0,18.413,0.36798,18.7852
2,normal,10000,eager,1000000,100000,100000,15,66664,50760,95132,0.00259731,0.00121143,0,18.4004,0.363444,18.7665
3,normal,10000,eager,1000000,100000,100000,15,66664,50760,95132,0.00258157,0.00120739,0,18.4838,0.363081,18.8495
4,normal,10000,eager,1000000,100000,100000,15,66664,50760,95132,0.00599064,0.00279028,0,18.461,0.370963,18.8379
0,normal,10000,additional,1000000,100000,100000,15,66664,50760,95132,0.0036961,0.00119924,0.000623365,12.4646,0.368658,12.837
1,normal,10000,additional,1000000,100000,100000,15,66664,50760,95132,0.00413677,0.00134037,0.000626944,12.4751,0.368015,12.8472
2,normal,10000,additional,1000000,100000,100000,15,66664,50760,95132,0.0019655,0.000618641,0.000658008,12.4754,0.367905,12.8453
3,normal,10000,additional,1000000,100000,100000,15,66664,50760,95132,0.00192639,0.000621741,0.00065613,12.47,0.368718,12.8406
4,normal,10000,additional,1000000,100000,100000,15,66664,50760,95132,0.00202441,0.00062068,0.000627407,12.478,0.366759,12.8468
0,normal,100000,lazy,1000000,100000,100000,15,66665,50760,95132,0.0232388,0.00988869,0,180.555,0.363655,180.942
1,normal,100000,lazy,1000000,100000,100000,15,66665,50760,95132,0.0232968,0.00997112,0,180.114,0.362499,180.499
2,normal,100000,lazy,1000000,100000,100000,15,66665,50760,95132,0.0333443,0.0142985,0,179.672,0.362693,180.069
3,normal,100000,lazy,1000000,100000,100000,15,66665,50760,95132,0.0251127,0.0107284,0,179.845,0.362224,180.232
4,normal,100000,lazy,1000000,100000,100000,15,66665,50760,95132,0.0235017,0.0101331,0,179.947,0.36245,180.332
0,normal,100000,eager,1000000,100000,100000,15,66665,50760,95132,0.0522827,0.025133,0,185.572,0.363946,185.988
1,normal,100000,eager,1000000,100000,100000,15,66665,50760,95132,0.0262013,0.0126747,0,185.443,0.36367,185.833
2,normal,100000,eager,1000000,100000,100000,15,66665,50760,95132,0.0363315,0.0175769,0,185.959,0.362241,186.357
3,normal,100000,eager,1000000,100000,100000,15,66665,50760,95132,0.0503123,0.0240996,0,186.476,0.363047,186.89
4,normal,100000,eager,1000000,100000,100000,15,66665,50760,95132,0.0319193,0.0154213,0,184.959,0.363707,185.355
0,normal,100000,additional,1000000,100000,100000,15,66665,50760,95132,0.0192718,0.00628672,0.00741368,141.674,0.367697,142.061
1,normal,100000,additional,1000000,100000,100000,15,66665,50760,95132,0.0197988,0.0063269,0.00746364,142.661,0.367327,143.048
2,normal,100000,additional,1000000,100000,100000,15,66665,50760,95132,0.0413985,0.0133502,0.00885573,142.182,0.367488,142.591
3,normal,100000,additional,1000000,100000,100000,15,66665,50760,95132,0.0194507,0.00632421,0.0074642,142,0.36779,142.387
4,normal,100000,additional,1000000,100000,100000,15,66665,50760,95132,0.0194197,0.00622834,0.00730141,141.844,0.366847,142.23
0,normal,1000000,lazy,1000000,100000,100000,15,66666,50760,95132,0.245997,0.104682,0,1794.41,0.362302,1795.02
1,normal,1000000,lazy,1000000,100000,100000,15,66666,50760,95132,0.24615,0.106055,0,1802.44,0.361353,1803.05
2,normal,1000000,lazy,1000000,100000,100000,15,66666,50760,95132,0.249431,0.107212,0,1800.9,0.361536,1801.51
3,normal,1000000,lazy,1000000,100000,100000,15,66666,50760,95132,0.232022,0.0993056,0,1799.68,0.361155,1800.27
4,normal,1000000,lazy,1000000,100000,100000,15,66666,50760,95132,0.243652,0.103499,0,1798.83,0.3626,1799.43
0,normal,1000000,eager,1000000,100000,100000,15,66666,50760,95132,0.256711,0.124223,0,1852.43,0.359846,1853.04
1,normal,1000000,eager,1000000,100000,100000,15,66666,50760,95132,0.260999,0.126315,0,1840.46,0.359793,1841.08
2,normal,1000000,eager,1000000,100000,100000,15,66666,50760,95132,0.273783,0.131276,0,1859.78,0.361149,1860.42
3,normal,1000000,eager,1000000,100000,100000,15,66666,50760,95132,0.256062,0.123244,0,1856.16,0.361257,1856.77
4,normal,1000000,eager,1000000,100000,100000,15,66666,50760,95132,0.264988,0.127923,0,1860.17,0.361008,1860.79
0,normal,1000000,additional,1000000,100000,100000,15,66666,50760,95132,0.212327,0.0675079,0.0709493,1394.74,0.366231,1395.32
1,normal,1000000,additional,1000000,100000,100000,15,66666,50760,95132,0.211553,0.0687821,0.0712103,1392.16,0.365814,1392.74
2,normal,1000000,additional,1000000,100000,100000,15,66666,50760,95132,0.202193,0.0652155,0.0710899,1390.64,0.36655,1391.2
3,normal,1000000,additional,1000000,100000,100000,15,66666,50760,95132,0.238151,0.0793521,0.0712721,1393.22,0.365362,1393.82
4,normal,1000000,additional,1000000,100000,100000,15,66666,50760,95132,0.209207,0.0686576,0.0726999,1394.01,0.372349,1394.6
