iter,distribution,num queries,strategy,domain,leaf size,range size,avg node range,num leafs,tree depth,tree building,query mapping,post filtering,db execution,total time
1,zipf,10000,lazy,1000000,100000,100000,71428,14,9,0.00277936,0.00168811,17.1251,0.361683,17.4912
2,zipf,10000,lazy,1000000,100000,100000,71428,14,9,0.00250585,0.00157843,17.0949,0.35886,17.4579
3,zipf,10000,lazy,1000000,100000,100000,71428,14,9,0.0024295,0.00151704,17.0636,0.359088,17.4266
4,zipf,10000,lazy,1000000,100000,100000,71428,14,9,0.00275695,0.00169723,17.0891,0.36475,17.4583
0,zipf,10000,eager,1000000,100000,100000,71428,14,9,0.00247807,0.00224823,17.1157,0.357233,17.4777
1,zipf,10000,eager,1000000,100000,100000,71428,14,9,0.00214767,0.0020424,17.2667,0.361329,17.6322
2,zipf,10000,eager,1000000,100000,100000,71428,14,9,0.00502435,0.00452581,17.2804,0.388564,17.6785
3,zipf,10000,eager,1000000,100000,100000,71428,14,9,0.00231991,0.00209473,17.1972,0.360404,17.5621
4,zipf,10000,eager,1000000,100000,100000,71428,14,9,0.0020947,0.0019329,17.3207,0.358043,17.6828
0,zipf,10000,additional,1000000,100000,100000,71428,14,9,0.00266178,0.000738353,17.5336,0.357382,17.8944
1,zipf,10000,additional,1000000,100000,100000,71428,14,9,0.00255825,0.000736531,17.6326,0.357759,17.9936
2,zipf,10000,additional,1000000,100000,100000,71428,14,9,0.00259803,0.000703149,17.6481,0.357574,18.009
3,zipf,10000,additional,1000000,100000,100000,71428,14,9,0.00256577,0.000722577,17.5,0.358491,17.8618
4,zipf,10000,additional,1000000,100000,100000,71428,14,9,0.00255855,0.000700745,17.8179,0.362863,18.184
0,zipf,100000,lazy,1000000,100000,100000,71428,14,9,0.031974,0.0193986,170.967,0.361224,171.38
1,zipf,100000,lazy,1000000,100000,100000,71428,14,9,0.0329048,0.0196141,171.653,0.372862,172.078
2,zipf,100000,lazy,1000000,100000,100000,71428,14,9,0.0319136,0.0191229,171.329,0.360822,171.74
3,zipf,100000,lazy,1000000,100000,100000,71428,14,9,0.0322494,0.0190956,171.221,0.361093,171.633
4,zipf,100000,lazy,1000000,100000,100000,71428,14,9,0.0331693,0.0198048,171.307,0.361897,171.722
0,zipf,100000,eager,1000000,100000,100000,71428,14,9,0.0301802,0.0258417,172.618,0.3598,173.033
1,zipf,100000,eager,1000000,100000,100000,71428,14,9,0.0302749,0.025496,173.089,0.362051,173.506
2,zipf,100000,eager,1000000,100000,100000,71428,14,9,0.0115191,0.0101557,172.691,0.357139,173.07
3,zipf,100000,eager,1000000,100000,100000,71428,14,9,0.0113755,0.0104537,171.418,0.356995,171.797
4,zipf,100000,eager,1000000,100000,100000,71428,14,9,0.0114185,0.0103037,172.406,0.355907,172.783
0,zipf,100000,additional,1000000,100000,100000,71428,14,9,0.0357971,0.0106197,175.685,0.359611,176.091
1,zipf,100000,additional,1000000,100000,100000,71428,14,9,0.0364165,0.0105486,176.198,0.35972,176.604
2,zipf,100000,additional,1000000,100000,100000,71428,14,9,0.0363037,0.010504,176.134,0.359821,176.541
3,zipf,100000,additional,1000000,100000,100000,71428,14,9,0.0121481,0.00749582,176.402,0.360505,176.782
4,zipf,100000,additional,1000000,100000,100000,71428,14,9,0.0363315,0.0105316,176.419,0.366439,176.832
