10,0.146896,0.0265275,880760200000
10,0.144761,0.0272099,880760200000
10,0.14459,0.0264812,880760200000
10,0.148516,0.0268048,880760200000
10,0.147216,0.0268137,880760200000
100,0.242793,0.118854,9823481200000
100,0.255086,0.118901,9823481200000
100,0.239876,0.119156,9823481200000
100,0.239537,0.119761,9823481200000
100,0.241543,0.119195,9823481200000
1000,0.247352,0.358996,99704371600000
1000,0.249228,0.359047,99704371600000
1000,0.248315,0.359657,99704371600000
1000,0.248143,0.355939,99704371600000
1000,0.249076,0.356994,99704371600000
10000,0.330953,3.83741,1001783458000000
10000,0.324519,3.78648,1001783458000000
10000,0.315888,3.8111,1001783458000000
10000,0.322822,3.47775,1001783458000000
10000,0.295951,3.79839,1001783458000000
100000,0.653398,104.818,10009306629200000
100000,0.677598,103.75,10009306629200000
100000,0.632631,99.9926,10009306629200000
100000,0.677436,104.844,10009306629200000
100000,0.706763,105.657,10009306629200000
1000000,1.82962,1832.44,99983202613400000
1000000,1.70538,1783.5,99983202613400000
1000000,1.79758,1762.83,99983202613400000
1000000,1.74864,1768.45,99983202613400000
1000000,1.8859,1779.3,99983202613400000
