iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time
2,lazy,normal,100000,1000000000,10000,0,10000,55058,99999,8435,117986,96,801908,726342,126198,89661,8213,0.119245,0.035327,0.033399,0.003024,0.341135,0.190996,0,0.532131
3,lazy,normal,100000,1000000000,10000,0,10000,55058,99999,8435,117986,96,801908,726342,126198,89661,8213,0.122168,0.036033,0.033608,0.003007,0.341432,0.194816,0,0.536248
4,lazy,normal,100000,1000000000,10000,0,10000,55058,99999,8435,117986,96,801908,726342,126198,89661,8213,0.119223,0.034997,0.033539,0.003001,0.341931,0.190759,0,0.53269
0,lazy,normal,100000,1000000000,1000000,0,10000,55058,99999,546225,1827,20,113535,112838,28982,17,24471,0.009768,0.005543,9.9E-05,0.011333,0.0278642,0.0267427,0,0.054607
1,lazy,normal,100000,1000000000,1000000,0,10000,55058,99999,546225,1827,20,113535,112838,28982,17,24471,0.009704,0.005514,9.9E-05,0.011371,0.027617,0.026688,0,0.054305
2,lazy,normal,100000,1000000000,1000000,0,10000,55058,99999,546225,1827,20,113535,112838,28982,17,24471,0.009647,0.00543,0.000101,0.011672,0.027606,0.0268504,0,0.0544563
3,lazy,normal,100000,1000000000,1000000,0,10000,55058,99999,546225,1827,20,113535,112838,28982,17,24471,0.009709,0.00561,0.000101,0.011448,0.0278686,0.0268679,0,0.0547365
4,lazy,normal,100000,1000000000,1000000,0,10000,55058,99999,546225,1827,20,113535,112838,28982,17,24471,0.009577,0.005279,0.000103,0.011311,0.0271356,0.0262703,0,0.053406
0,lazy,normal,100000,1000000000,10000000,0,10000,55058,99999,5585462,179,14,105814,105814,23569,0,18139,0.007278,0.004357,0,0.010525,0.020034,0.0221594,0,0.0421934
1,lazy,normal,100000,1000000000,10000000,0,10000,55058,99999,5585462,179,14,105814,105814,23569,0,18139,0.007347,0.004591,0,0.010301,0.0206746,0.0222384,0,0.042913
