iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time
0,additional,normal,100000,1000000000,1000,1000,1000,1000,1000,954,99673,36,118537,0,0,0,0,0,0,0,0,0.0485038,0,0.0795393,0.128043
1,additional,normal,100000,1000000000,1000,1000,1000,1000,1000,954,99673,36,118537,0,0,0,0,0,0,0,0,0.0541434,0,0.0926229,0.146766
2,additional,normal,100000,1000000000,1000,1000,1000,1000,1000,954,99673,36,118537,0,0,0,0,0,0,0,0,0.0513848,0,0.0851686,0.136553
3,additional,normal,100000,1000000000,1000,1000,1000,1000,1000,954,99673,36,118537,0,0,0,0,0,0,0,0,0.0524443,0,0.0859328,0.138377
4,additional,normal,100000,1000000000,1000,1000,1000,1000,1000,954,99673,36,118537,0,0,0,0,0,0,0,0,0.0526205,0,0.0871462,0.139767
0,additional,normal,100000,1000000000,10000,1000,1000,1000,1000,1052,90416,35,100086,0,0,0,0,0,0,0,0,0.0508958,0,0.0767799,0.127676
1,additional,normal,100000,1000000000,10000,1000,1000,1000,1000,1052,90416,35,100086,0,0,0,0,0,0,0,0,0.0540881,0,0.0823297,0.136418
2,additional,normal,100000,1000000000,10000,1000,1000,1000,1000,1052,90416,35,100086,0,0,0,0,0,0,0,0,0.051499,0,0.081588,0.133087
3,additional,normal,100000,1000000000,10000,1000,1000,1000,1000,1052,90416,35,100086,0,0,0,0,0,0,0,0,0.0630182,0,0.0872133,0.150231
4,additional,normal,100000,1000000000,10000,1000,1000,1000,1000,1052,90416,35,100086,0,0,0,0,0,0,0,0,0.056332,0,0.0989506,0.155283
0,additional,normal,100000,1000000000,1000000,1000,1000,1000,1000,1056,90367,35,100076,0,0,0,0,0,0,0,0,0.0554401,0,0.0836186,0.139059
1,additional,normal,100000,1000000000,1000000,1000,1000,1000,1000,1056,90367,35,100076,0,0,0,0,0,0,0,0,0.0532217,0,0.0807447,0.133966
2,additional,normal,100000,1000000000,1000000,1000,1000,1000,1000,1056,90367,35,100076,0,0,0,0,0,0,0,0,0.0489512,0,0.0741564,0.123108
3,additional,normal,100000,1000000000,1000000,1000,1000,1000,1000,1056,90367,35,100076,0,0,0,0,0,0,0,0,0.0503342,0,0.065749,0.116083
4,additional,normal,100000,1000000000,1000000,1000,1000,1000,1000,1056,90367,35,100076,0,0,0,0,0,0,0,0,0.0506357,0,0.0673394,0.117975
0,additional,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100076,0,0,0,0,0,0,0,0,0.0482437,0,0.06942,0.117664
1,additional,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100076,0,0,0,0,0,0,0,0,0.0500405,0,0.0755059,0.125546
2,additional,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100076,0,0,0,0,0,0,0,0,0.0507311,0,0.0780899,0.128821
3,additional,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100076,0,0,0,0,0,0,0,0,0.0563662,0,0.0780113,0.134378
4,additional,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100076,0,0,0,0,0,0,0,0,0.0492407,0,0.0778553,0.127096
0,additional,normal,100000,1000000000,max_range,1000,1000,1000,1000,954,99673,36,118537,0,0,0,0,0,0,0,0,0.050839,0,0.0899338,0.140773
1,additional,normal,100000,1000000000,max_range,1000,1000,1000,1000,954,99673,36,118537,0,0,0,0,0,0,0,0,0.0556715,0,0.0915482,0.14722
2,additional,normal,100000,1000000000,max_range,1000,1000,1000,1000,954,99673,36,118537,0,0,0,0,0,0,0,0,0.0559773,0,0.0993887,0.155366
3,additional,normal,100000,1000000000,max_range,1000,1000,1000,1000,954,99673,36,118537,0,0,0,0,0,0,0,0,0.0555707,0,0.11112,0.166691
4,additional,normal,100000,1000000000,max_range,1000,1000,1000,1000,954,99673,36,118537,0,0,0,0,0,0,0,0,0.0514032,0,0.0898887,0.141292
0,lazy,normal,100000,1000000000,1000,1000,1000,1000,1000,954,99673,36,119319,100504,99827,9153,155,0.012382,0.037345,0.003774,8.1E-05,0.0598793,0.0535826,0,0.113462
1,lazy,normal,100000,1000000000,1000,1000,1000,1000,1000,954,99673,36,119319,100504,99827,9153,155,0.011284,0.034726,0.003741,7.4E-05,0.0557159,0.0498256,0,0.105541
2,lazy,normal,100000,1000000000,1000,1000,1000,1000,1000,954,99673,36,119319,100504,99827,9153,155,0.011658,0.035306,0.00371,7.4E-05,0.0567495,0.0507465,0,0.107496
3,lazy,normal,100000,1000000000,1000,1000,1000,1000,1000,954,99673,36,119319,100504,99827,9153,155,0.011649,0.036263,0.003784,7.2E-05,0.056723,0.0517672,0,0.10849
4,lazy,normal,100000,1000000000,1000,1000,1000,1000,1000,954,99673,36,119319,100504,99827,9153,155,0.011997,0.03877,0.003737,7.4E-05,0.0593149,0.054578,0,0.113893
0,lazy,normal,100000,1000000000,10000,1000,1000,1000,1000,1052,90416,35,100181,100181,99826,0,9402,0.012622,0.039123,0,0.003322,0.0591794,0.0550664,0,0.114246
1,lazy,normal,100000,1000000000,10000,1000,1000,1000,1000,1052,90416,35,100181,100181,99826,0,9402,0.014757,0.043496,0,0.003273,0.0652918,0.0615254,0,0.126817
2,lazy,normal,100000,1000000000,10000,1000,1000,1000,1000,1052,90416,35,100181,100181,99826,0,9402,0.013079,0.040407,0,0.003207,0.0609447,0.0566933,0,0.117638
3,lazy,normal,100000,1000000000,10000,1000,1000,1000,1000,1052,90416,35,100181,100181,99826,0,9402,0.013241,0.040164,0,0.003214,0.0607561,0.0566186,0,0.117375
4,lazy,normal,100000,1000000000,10000,1000,1000,1000,1000,1052,90416,35,100181,100181,99826,0,9402,0.012567,0.039338,0,0.0032,0.0589613,0.0551054,0,0.114067
0,lazy,normal,100000,1000000000,1000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.013348,0.040626,0,0.003218,0.0607821,0.0571912,0,0.117973
1,lazy,normal,100000,1000000000,1000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.012366,0.038252,0,0.003222,0.0580114,0.0538397,0,0.111851
2,lazy,normal,100000,1000000000,1000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.011596,0.036865,0,0.003161,0.0559399,0.0516213,0,0.107561
3,lazy,normal,100000,1000000000,1000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.011075,0.034788,0,0.003131,0.0539903,0.0489936,0,0.102984
4,lazy,normal,100000,1000000000,1000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.011002,0.034969,0,0.0031,0.0534243,0.0490718,0,0.102496
0,lazy,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.011434,0.035451,0,0.003129,0.0550307,0.0500133,0,0.105044
1,lazy,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.011009,0.034077,0,0.003116,0.0535903,0.0482021,0,0.101792
2,lazy,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.011132,0.034761,0,0.003157,0.053979,0.0490512,0,0.10303
3,lazy,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.011073,0.03521,0,0.003122,0.0537378,0.0494051,0,0.103143
4,lazy,normal,100000,1000000000,10000000,1000,1000,1000,1000,1056,90367,35,100181,100181,99817,0,9409,0.011384,0.035139,0,0.003176,0.0553283,0.0496987,0,0.105027
0,lazy,normal,100000,1000000000,max_range,1000,1000,1000,1000,954,99673,36,119319,100504,99827,9153,155,0.01096,0.034828,0.003657,6.4E-05,0.0545705,0.0495102,0,0.104081
1,lazy,normal,100000,1000000000,max_range,1000,1000,1000,1000,954,99673,36,119319,100504,99827,9153,155,0.011062,0.033903,0.003671,6.5E-05,0.0543598,0.0487008,0,0.103061
2,lazy,normal,100000,1000000000,max_range,1000,1000,1000,1000,954,99673,36,119319,100504,99827,9153,155,0.010803,0.034054,0.003676,8.4E-05,0.0541543,0.0486168,0,0.102771
3,lazy,normal,100000,1000000000,max_range,1000,1000,1000,1000,954,99673,36,119319,100504,99827,9153,155,0.010886,0.033815,0.003661,6.5E-05,0.0543296,0.0484261,0,0.102756
