iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time
0,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,102911,0,0,0,0,0,0,0,0,0.0405828,0,0.0346883,0.0752711
1,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,102911,0,0,0,0,0,0,0,0,0.0409662,0,0.0353176,0.0762838
2,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,102911,0,0,0,0,0,0,0,0,0.0409876,0,0.0355369,0.0765245
3,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,102911,0,0,0,0,0,0,0,0,0.0420616,0,0.03469,0.0767516
4,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,102911,0,0,0,0,0,0,0,0,0.0399824,0,0.0344455,0.0744279
0,additional,normal,100000,1000000000,10000000,100000,100000,100000,100000,5555353,180,16,101507,0,0,0,0,0,0,0,0,0.0144605,0,0.00780629,0.0222668
1,additional,normal,100000,1000000000,10000000,100000,100000,100000,100000,5555353,180,16,101507,0,0,0,0,0,0,0,0,0.0145143,0,0.00787454,0.0223888
2,additional,normal,100000,1000000000,10000000,100000,100000,100000,100000,5555353,180,16,101507,0,0,0,0,0,0,0,0,0.0143327,0,0.00782602,0.0221587
3,additional,normal,100000,1000000000,10000000,100000,100000,100000,100000,5555353,180,16,101507,0,0,0,0,0,0,0,0,0.0144025,0,0.00778508,0.0221876
4,additional,normal,100000,1000000000,10000000,100000,100000,100000,100000,5555353,180,16,101507,0,0,0,0,0,0,0,0,0.0145408,0,0.00770171,0.0222425
0,additional,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,6060540,165,14,116275,0,0,0,0,0,0,0,0,0.0118594,0,0.00829228,0.0201516
1,additional,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,6060540,165,14,116275,0,0,0,0,0,0,0,0,0.0117669,0,0.00828609,0.020053
2,additional,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,6060540,165,14,116275,0,0,0,0,0,0,0,0,0.0118515,0,0.00825607,0.0201076
3,additional,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,6060540,165,14,116275,0,0,0,0,0,0,0,0,0.0126031,0,0.00830144,0.0209046
4,additional,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,6060540,165,14,116275,0,0,0,0,0,0,0,0,0.0121573,0,0.00826685,0.0204242
0,additional,normal,100000,1000000000,10000000,10000000,10000000,10000000,10000000,6756612,148,13,248364,0,0,0,0,0,0,0,0,0.0241411,0,0.0129045,0.0370456
1,additional,normal,100000,1000000000,10000000,10000000,10000000,10000000,10000000,6756612,148,13,248364,0,0,0,0,0,0,0,0,0.0250045,0,0.0131903,0.0381948
2,additional,normal,100000,1000000000,10000000,10000000,10000000,10000000,10000000,6756612,148,13,248364,0,0,0,0,0,0,0,0,0.0243385,0,0.0129357,0.0372742
3,additional,normal,100000,1000000000,10000000,10000000,10000000,10000000,10000000,6756612,148,13,248364,0,0,0,0,0,0,0,0,0.0242783,0,0.0131982,0.0374765
