iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
0,additional,normal,10,1000000,max_range,10,10,10,10,10,10,5,10,0,0,0,0,0,0,0,0,3.487e-06,0,4.908e-06,8.395e-06
1,additional,normal,10,1000000,max_range,10,10,10,10,10,10,5,10,0,0,0,0,0,0,0,0,3.198e-06,0,4.346e-06,7.544e-06
2,additional,normal,10,1000000,max_range,10,10,10,10,10,10,5,10,0,0,0,0,0,0,0,0,3.603e-06,0,4.445e-06,8.048e-06
3,additional,normal,10,1000000,max_range,10,10,10,10,10,10,5,10,0,0,0,0,0,0,0,0,3.481e-06,0,5.093e-06,8.574e-06
4,additional,normal,10,1000000,max_range,10,10,10,10,10,10,5,10,0,0,0,0,0,0,0,0,4.162e-06,0,4.661e-06,8.823e-06
0,additional,normal,10,1000000,max_range,100,100,100,100,100,10,6,10,0,0,0,0,0,0,0,0,3.339e-06,0,4.592e-06,7.931e-06
1,additional,normal,10,1000000,max_range,100,100,100,100,100,10,6,10,0,0,0,0,0,0,0,0,3.434e-06,0,4.432e-06,7.866e-06
2,additional,normal,10,1000000,max_range,100,100,100,100,100,10,6,10,0,0,0,0,0,0,0,0,3.243e-06,0,4.482e-06,7.725e-06
3,additional,normal,10,1000000,max_range,100,100,100,100,100,10,6,10,0,0,0,0,0,0,0,0,3.281e-06,0,4.656e-06,7.937e-06
4,additional,normal,10,1000000,max_range,100,100,100,100,100,10,6,10,0,0,0,0,0,0,0,0,3.322e-06,0,4.347e-06,7.669e-06
0,additional,normal,10,1000000,max_range,1000,1000,1000,1000,1000,10,5,10,0,0,0,0,0,0,0,0,3.261e-06,0,4.159e-06,7.42e-06
1,additional,normal,10,1000000,max_range,1000,1000,1000,1000,1000,10,5,10,0,0,0,0,0,0,0,0,3.311e-06,0,4.158e-06,7.469e-06
2,additional,normal,10,1000000,max_range,1000,1000,1000,1000,1000,10,5,10,0,0,0,0,0,0,0,0,3.878e-06,0,4.565e-06,8.443e-06
