iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time,exec time,post filtering time,total time
0,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,0,0,0,0,0,0,0,0,0.000101372,0,7.7349e-05,0.000178721,0.341111,0.00952118,0.350835
1,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,0,0,0,0,0,0,0,0,0.00010562,0,7.5053e-05,0.000180673,0.343479,0.00869653,0.352381
2,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,0,0,0,0,0,0,0,0,0.000100538,0,7.6893e-05,0.000177431,0.340296,0.00833908,0.348837
3,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,0,0,0,0,0,0,0,0,0.000102052,0,7.5881e-05,0.000177933,0.34019,0.00857553,0.348968
4,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,16,5,258,0,0,0,0,0,0,0,0,0.000102292,0,7.4123e-05,0.000176415,0.408646,0.00833567,0.417183
0,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000459,0.000025,0.000045,0.000039,0.000860828,0.000568212,0,0.00142904,0.350662,0.0861076,0.438198
1,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000531,0.000024,0.000046,0.000042,0.000815446,0.000642747,0,0.00145819,0.38906,0.0861874,0.476706
2,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000346,0.000022,0.000045,0.000035,0.000616164,0.000448104,0,0.00106427,0.386666,0.0871965,0.474926
3,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000442,0.000022,0.000043,0.000038,0.000815846,0.000545752,0,0.0013616,0.382565,0.0869137,0.47084
4,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2631,2587,29,12,14,0.000474,0.000023,0.000047,0.000039,0.000830835,0.00058307,0,0.00141391,0.351849,0.0765151,0.429778
0,eager,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,2587,29,12,14,0.000554,0.000042,0.000042,0.000057,0.000813375,0.000695052,0,0.00150843,0.349287,0.0864441,0.437239
1,eager,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,2587,29,12,14,0.000562,0.000040,0.000040,0.000059,0.000819554,0.000701677,0,0.00152123,0.347388,0.0727243,0.421634
2,eager,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,2587,29,12,14,0.000581,0.000042,0.000039,0.000056,0.000842931,0.000718889,0,0.00156182,0.350775,0.0764035,0.428741
3,eager,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,2587,29,12,14,0.000563,0.000040,0.000041,0.000056,0.00082508,0.000700385,0,0.00152546,0.347889,0.0724754,0.42189
4,eager,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,2587,29,12,14,0.000578,0.000041,0.000041,0.000057,0.000820359,0.000717167,0,0.00153753,0.348024,0.0724204,0.421982
0,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,0,0,0,0,0,0,0,0,0.000808725,0,0.000455914,0.00126464,0.349039,0.0867456,0.437276
1,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,0,0,0,0,0,0,0,0,0.000810174,0,0.00044547,0.00125564,0.349846,0.0730701,0.424428
2,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,0,0,0,0,0,0,0,0,0.00080053,0,0.000470721,0.00127125,0.348859,0.0763917,0.426749
3,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,0,0,0,0,0,0,0,0,0.00079794,0,0.000437191,0.00123513,0.3479,0.0760657,0.425427
4,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,16,5,2611,0,0,0,0,0,0,0,0,0.000804415,0,0.000462207,0.00126662,0.375857,0.0868471,0.464198
0,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.004772,0.000027,0.000048,0.000074,0.00782383,0.00491949,0,0.0127433,0.375592,0.850364,1.2387
1,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.002542,0.000026,0.000043,0.000051,0.00436731,0.00266116,0,0.00702846,0.348918,0.751368,1.10731
2,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.002515,0.000026,0.000045,0.000053,0.00404309,0.00263892,0,0.00668201,0.348482,0.712554,1.06772
3,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26200,26156,31,12,16,0.002732,0.000026,0.000043,0.000053,0.00433292,0.00285375,0,0.00718667,0.36226,0.862142,1.23159
