0,additional,normal,10,100000000,100,100,100,100,100,100,10,9,10,0,0,0,0,0,0,0,0,1.3255e-05,0,1.4722e-05,2.7977e-05,0.00219969,4.422e-06,0.00223515
1,additional,normal,10,100000000,100,100,100,100,100,100,10,9,10,0,0,0,0,0,0,0,0,1.3926e-05,0,1.4846e-05,2.8772e-05,0.00221987,4.38e-06,0.0022563
2,additional,normal,10,100000000,100,100,100,100,100,100,10,9,10,0,0,0,0,0,0,0,0,1.3617e-05,0,1.5534e-05,2.9151e-05,0.00219888,4.36e-06,0.0022353
0,additional,normal,10010,100000000,100,100,100,100,100,100,10010,10009,10010,0,0,0,0,0,0,0,0,0.420304,0,0.00313552,0.423439,0.448489,0.00115105,0.873697
1,additional,normal,10010,100000000,100,100,100,100,100,100,10010,10009,10010,0,0,0,0,0,0,0,0,0.434237,0,0.00334645,0.437584,0.508225,0.00130081,0.947911
2,additional,normal,10010,100000000,100,100,100,100,100,100,10010,10009,10010,0,0,0,0,0,0,0,0,0.457243,0,0.0031773,0.46042,0.482608,0.00115506,0.944863
0,additional,normal,20010,100000000,100,100,100,100,100,100,20010,20009,20010,0,0,0,0,0,0,0,0,1.66618,0,0.00671769,1.67289,0.910501,0.00218262,2.58693
1,additional,normal,20010,100000000,100,100,100,100,100,100,20010,20009,20010,0,0,0,0,0,0,0,0,1.7428,0,0.00699852,1.7498,0.912825,0.00217479,2.66638
2,additional,normal,20010,100000000,100,100,100,100,100,100,20010,20009,20010,0,0,0,0,0,0,0,0,1.67465,0,0.00667924,1.68133,0.91104,0.00214626,2.59589
0,additional,normal,30010,100000000,100,100,100,100,100,100,30010,30009,30010,0,0,0,0,0,0,0,0,3.65568,0,0.0106681,3.66635,1.35724,0.00319549,5.02882
1,additional,normal,30010,100000000,100,100,100,100,100,100,30010,30009,30010,0,0,0,0,0,0,0,0,3.82319,0,0.0106847,3.83388,1.36603,0.00321168,5.20522
2,additional,normal,30010,100000000,100,100,100,100,100,100,30010,30009,30010,0,0,0,0,0,0,0,0,3.65629,0,0.0106693,3.66696,1.37713,0.00308257,5.04931
