iter,strategy,num queries,domain size,leaf size,range size,distribution,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
4,eager,1000000,1000000,100000,10000,normal,62664,16,5,1151436,1151430,134,2,116,0.053941,0.003317,0.000009,0.005017,0.0802568,0.0622844,0,0.142541
0,eager,1000000,1000000,250000,10000,normal,199999,5,3,1040199,1040197,62,1,53,0.050596,0.005992,0.000016,0.012671,0.0600737,0.069275,0,0.129349
1,eager,1000000,1000000,250000,10000,normal,199999,5,3,1040199,1040197,62,1,53,0.050087,0.006335,0.000016,0.012391,0.0602544,0.0688291,0,0.129084
2,eager,1000000,1000000,250000,10000,normal,199999,5,3,1040199,1040197,62,1,53,0.051280,0.006200,0.000016,0.012480,0.0607698,0.0699767,0,0.130746
3,eager,1000000,1000000,250000,10000,normal,199999,5,3,1040199,1040197,62,1,53,0.050643,0.006040,0.000016,0.011976,0.0611497,0.0686745,0,0.129824
4,eager,1000000,1000000,250000,10000,normal,199999,5,3,1040199,1040197,62,1,53,0.050184,0.006519,0.000016,0.012766,0.0596949,0.0694851,0,0.12918
0,eager,1000000,1000000,750000,10000,normal,499999,2,1,1010048,1010048,48,0,38,0.051736,0.015412,0.000000,0.029378,0.0506841,0.096526,0,0.14721
1,eager,1000000,1000000,750000,10000,normal,499999,2,1,1010048,1010048,48,0,38,0.054309,0.015314,0.000000,0.029669,0.0511789,0.0992921,0,0.150471
2,eager,1000000,1000000,750000,10000,normal,499999,2,1,1010048,1010048,48,0,38,0.052150,0.015742,0.000000,0.029460,0.0512864,0.0973519,0,0.148638
3,eager,1000000,1000000,750000,10000,normal,499999,2,1,1010048,1010048,48,0,38,0.052702,0.015539,0.000000,0.029795,0.0515677,0.0980362,0,0.149604
4,eager,1000000,1000000,750000,10000,normal,499999,2,1,1010048,1010048,48,0,38,0.051568,0.015797,0.000000,0.029841,0.0523387,0.0972064,0,0.149545
