iter,strategy,num queries,domain size,leaf size,range size,distribution,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
0,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.160494,0,0.0958727,0.256367
1,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.159872,0,0.0962187,0.256091
2,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.166635,0,0.0990905,0.265726
3,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.162575,0,0.0967519,0.259327
4,additional,1000000,1000000,100000,100000,normal,62499,16,6,2577938,0,0,0,0,0,0,0,0,0.171907,0,0.107606,0.279512
0,additional,1000000,1000000,250000,100000,normal,199999,5,3,1444721,0,0,0,0,0,0,0,0,0.0846,0,0.0737115,0.158312
1,additional,1000000,1000000,250000,100000,normal,199999,5,3,1444721,0,0,0,0,0,0,0,0,0.0835887,0,0.0736869,0.157276
2,additional,1000000,1000000,250000,100000,normal,199999,5,3,1444721,0,0,0,0,0,0,0,0,0.083365,0,0.0732241,0.156589
3,additional,1000000,1000000,250000,100000,normal,199999,5,3,1444721,0,0,0,0,0,0,0,0,0.0883449,0,0.0761084,0.164453
4,additional,1000000,1000000,250000,100000,normal,199999,5,3,1444721,0,0,0,0,0,0,0,0,0.0847753,0,0.0724367,0.157212
0,additional,1000000,1000000,750000,100000,normal,499999,2,1,1111467,0,0,0,0,0,0,0,0,0.0619736,0,0.063371,0.125345
1,additional,1000000,1000000,750000,100000,normal,499999,2,1,1111467,0,0,0,0,0,0,0,0,0.0557396,0,0.0571175,0.112857
2,additional,1000000,1000000,750000,100000,normal,499999,2,1,1111467,0,0,0,0,0,0,0,0,0.0590778,0,0.0584805,0.117558
3,additional,1000000,1000000,750000,100000,normal,499999,2,1,1111467,0,0,0,0,0,0,0,0,0.056809,0,0.057089,0.113898
4,additional,1000000,1000000,750000,100000,normal,499999,2,1,1111467,0,0,0,0,0,0,0,0,0.0572322,0,0.0570256,0.114258
0,lazy,1000000,1000000,100000,100000,normal,62499,16,6,2577977,2577894,37,12,22,0.097650,0.000061,0.000012,0.000904,0.174306,0.0986271,0,0.272933
1,lazy,1000000,1000000,100000,100000,normal,62499,16,6,2577977,2577894,37,12,22,0.098399,0.000056,0.000012,0.000877,0.175468,0.0993426,0,0.274811
2,lazy,1000000,1000000,100000,100000,normal,62499,16,6,2577977,2577894,37,12,22,0.097864,0.000059,0.000012,0.000911,0.173771,0.098845,0,0.272616
3,lazy,1000000,1000000,100000,100000,normal,62499,16,6,2577977,2577894,37,12,22,0.097833,0.000064,0.000012,0.000919,0.171211,0.098827,0,0.270038
4,lazy,1000000,1000000,100000,100000,normal,62499,16,6,2577977,2577894,37,12,22,0.098190,0.000060,0.000014,0.000872,0.168914,0.0991365,0,0.268051
0,lazy,1000000,1000000,250000,100000,normal,199999,5,3,1444723,1444718,37,1,33,0.051562,0.000179,0.000001,0.003022,0.0834701,0.0547648,0,0.138235
1,lazy,1000000,1000000,250000,100000,normal,199999,5,3,1444723,1444718,37,1,33,0.053072,0.000192,0.000002,0.003204,0.0847099,0.0564705,0,0.14118
2,lazy,1000000,1000000,250000,100000,normal,199999,5,3,1444723,1444718,37,1,33,0.053935,0.000297,0.000001,0.003395,0.0855918,0.0576293,0,0.143221
3,lazy,1000000,1000000,250000,100000,normal,199999,5,3,1444723,1444718,37,1,33,0.052442,0.000205,0.000001,0.003107,0.0837845,0.0557555,0,0.13954
4,lazy,1000000,1000000,250000,100000,normal,199999,5,3,1444723,1444718,37,1,33,0.052405,0.000185,0.000001,0.003203,0.0869201,0.0557947,0,0.142715
0,lazy,1000000,1000000,750000,100000,normal,499999,2,1,1111467,1111467,34,0,33,0.039363,0.000696,0.000000,0.008889,0.0570822,0.0489481,0,0.10603
1,lazy,1000000,1000000,750000,100000,normal,499999,2,1,1111467,1111467,34,0,33,0.039562,0.000666,0.000000,0.008671,0.0580698,0.0488995,0,0.106969
2,lazy,1000000,1000000,750000,100000,normal,499999,2,1,1111467,1111467,34,0,33,0.038698,0.000638,0.000000,0.008208,0.0568134,0.0475438,0,0.104357
3,lazy,1000000,1000000,750000,100000,normal,499999,2,1,1111467,1111467,34,0,33,0.039169,0.000742,0.000000,0.008631,0.0564194,0.0485427,0,0.104962
4,lazy,1000000,1000000,750000,100000,normal,499999,2,1,1111467,1111467,34,0,33,0.038794,0.000703,0.000000,0.008323,0.0573706,0.0478199,0,0.10519
0,eager,1000000,1000000,100000,100000,normal,62499,16,6,2577938,2577894,37,12,22,0.130115,0.002384,0.000011,0.003290,0.174049,0.135799,0,0.309848
1,eager,1000000,1000000,100000,100000,normal,62499,16,6,2577938,2577894,37,12,22,0.132964,0.002820,0.000011,0.003652,0.175283,0.139447,0,0.31473
2,eager,1000000,1000000,100000,100000,normal,62499,16,6,2577938,2577894,37,12,22,0.135395,0.002465,0.000011,0.003441,0.186266,0.141312,0,0.327578
3,eager,1000000,1000000,100000,100000,normal,62499,16,6,2577938,2577894,37,12,22,0.125621,0.002284,0.000011,0.002989,0.168623,0.130905,0,0.299528
4,eager,1000000,1000000,100000,100000,normal,62499,16,6,2577938,2577894,37,12,22,0.128847,0.002298,0.000011,0.003109,0.174384,0.134264,0,0.308649
0,eager,1000000,1000000,250000,100000,normal,199999,5,3,1444721,1444718,37,1,33,0.074731,0.006886,0.000001,0.010739,0.0846197,0.0923568,0,0.176977
1,eager,1000000,1000000,250000,100000,normal,199999,5,3,1444721,1444718,37,1,33,0.078950,0.005980,0.000001,0.010917,0.0873891,0.0958482,0,0.183237
2,eager,1000000,1000000,250000,100000,normal,199999,5,3,1444721,1444718,37,1,33,0.078481,0.005057,0.000001,0.010932,0.0872379,0.0944716,0,0.18171
3,eager,1000000,1000000,250000,100000,normal,199999,5,3,1444721,1444718,37,1,33,0.073975,0.005542,0.000001,0.009705,0.0847866,0.0892224,0,0.174009
4,eager,1000000,1000000,250000,100000,normal,199999,5,3,1444721,1444718,37,1,33,0.074205,0.005043,0.000001,0.009033,0.084131,0.0882814,0,0.172412
0,eager,1000000,1000000,750000,100000,normal,499999,2,1,1111467,1111467,34,0,33,0.056355,0.011166,0.000000,0.029069,0.0567148,0.0965902,0,0.153305
1,eager,1000000,1000000,750000,100000,normal,499999,2,1,1111467,1111467,34,0,33,0.054516,0.010990,0.000000,0.028584,0.057825,0.0940907,0,0.151916
2,eager,1000000,1000000,750000,100000,normal,499999,2,1,1111467,1111467,34,0,33,0.054098,0.010807,0.000000,0.028163,0.0558166,0.0930685,0,0.148885
3,eager,1000000,1000000,750000,100000,normal,499999,2,1,1111467,1111467,34,0,33,0.054074,0.010833,0.000000,0.028150,0.0557597,0.093057,0,0.148817
4,eager,1000000,1000000,750000,100000,normal,499999,2,1,1111467,1111467,34,0,33,0.053721,0.010770,0.000000,0.028118,0.055449,0.092608,0,0.148057
