10,0.132505,0.0254238,880760200000
10,0.132185,0.0251667,880760200000
10,0.133482,0.0252664,880760200000
10,0.131989,0.0254,880760200000
10,0.133152,0.02607,880760200000
100,0.236325,0.109612,9823481200000
100,0.235863,0.110614,9823481200000
100,0.236204,0.1099,9823481200000
100,0.236674,0.110003,9823481200000
100,0.237652,0.11047,9823481200000
1000,0.243417,0.33227,99704371600000
1000,0.243081,0.332277,99704371600000
1000,0.244892,0.331394,99704371600000
1000,0.244984,0.330725,99704371600000
1000,0.242971,0.333411,99704371600000
10000,0.284642,3.17337,1001783458000000
10000,0.284276,3.71565,1001783458000000
10000,0.284006,3.1435,1001783458000000
10000,0.285699,3.3222,1001783458000000
10000,0.285408,3.16266,1001783458000000
100000,0.388175,99.5012,10009306629200000
100000,0.375974,99.4171,10009306629200000
100000,0.416194,104.982,10009306629200000
100000,0.392315,104.309,10009306629200000
100000,0.389467,103.901,10009306629200000
1000000,0.915917,1716.89,99983202613400000
1000000,0.86174,1722.48,99983202613400000
1000000,0.860915,1724.71,99983202613400000
1000000,0.843559,1707.77,99983202613400000
1000000,0.880497,1736.87,99983202613400000
