iter,strategy,num queries,domain size,leaf size,range size,distribution,avg node length,# leaf nodes,max tree depth,queries indexed,insert ops,transfer ops,share ops,merge ops,insert time,transfer time,share time,merge time,mapping time,tree time,total time
0,additional,1000000,100000,10000,1000,normal,5882,17,6,1161274,0,0,0,0,0,0,0,0,0.0653927,0.0758762,0.161878
1,additional,1000000,100000,10000,1000,normal,5882,17,6,1161274,0,0,0,0,0,0,0,0,0.0651699,0.0746211,0.160054
2,additional,1000000,100000,10000,1000,normal,5882,17,6,1161274,0,0,0,0,0,0,0,0,0.0645245,0.0772834,0.162958
3,additional,1000000,100000,10000,1000,normal,5882,17,6,1161274,0,0,0,0,0,0,0,0,0.0640916,0.0750502,0.159657
4,additional,1000000,100000,10000,1000,normal,5882,17,6,1161274,0,0,0,0,0,0,0,0,0.0650915,0.0753481,0.160908
0,additional,1000000,100000,10000,10000,normal,6666,15,6,2487477,0,0,0,0,0,0,0,0,0.0908913,0.144292,0.279052
1,additional,1000000,100000,10000,10000,normal,6666,15,6,2487477,0,0,0,0,0,0,0,0,0.090891,0.144834,0.279317
2,additional,1000000,100000,10000,10000,normal,6666,15,6,2487477,0,0,0,0,0,0,0,0,0.091391,0.146599,0.28171
3,additional,1000000,100000,10000,10000,normal,6666,15,6,2487477,0,0,0,0,0,0,0,0,0.0908804,0.142784,0.277412
4,additional,1000000,100000,10000,10000,normal,6666,15,6,2487477,0,0,0,0,0,0,0,0,0.0914965,0.145528,0.281055
0,lazy,1000000,100000,10000,1000,normal,5882,17,6,1161342,1161270,115,4,94,0.041665,0.000020,0.000024,0.000148,0.0418568,0.0738235,0.11568
1,lazy,1000000,100000,10000,1000,normal,5882,17,6,1161342,1161270,115,4,94,0.042500,0.000021,0.000013,0.000146,0.0426803,0.0750677,0.117748
2,lazy,1000000,100000,10000,1000,normal,5882,17,6,1161342,1161270,115,4,94,0.042542,0.000021,0.000011,0.000154,0.0427282,0.0750873,0.117816
3,lazy,1000000,100000,10000,1000,normal,5882,17,6,1161342,1161270,115,4,94,0.042641,0.000021,0.000010,0.000152,0.0428244,0.0750227,0.117847
4,lazy,1000000,100000,10000,1000,normal,5882,17,6,1161342,1161270,115,4,94,0.042584,0.000021,0.000013,0.000149,0.0427679,0.0752262,0.117994
0,lazy,1000000,100000,10000,10000,normal,6666,15,6,2487487,2487455,37,10,23,0.096037,0.000010,0.000007,0.000102,0.0961548,0.142408,0.238562
1,lazy,1000000,100000,10000,10000,normal,6666,15,6,2487487,2487455,37,10,23,0.096225,0.000010,0.000007,0.000101,0.0963429,0.143142,0.239485
2,lazy,1000000,100000,10000,10000,normal,6666,15,6,2487487,2487455,37,10,23,0.095908,0.000010,0.000007,0.000103,0.0960279,0.142312,0.238339
3,lazy,1000000,100000,10000,10000,normal,6666,15,6,2487487,2487455,37,10,23,0.096164,0.000009,0.000006,0.000102,0.0962817,0.143637,0.239918
4,lazy,1000000,100000,10000,10000,normal,6666,15,6,2487487,2487455,37,10,23,0.095254,0.000010,0.000009,0.000102,0.0953752,0.142548,0.237923
0,eager,1000000,100000,10000,1000,normal,5882,17,6,1161275,1161270,115,4,94,0.052445,0.000181,0.000015,0.000325,0.0529654,0.0759552,0.128921
1,eager,1000000,100000,10000,1000,normal,5882,17,6,1161275,1161270,115,4,94,0.052389,0.000179,0.000015,0.000328,0.0529112,0.0755475,0.128459
2,eager,1000000,100000,10000,1000,normal,5882,17,6,1161275,1161270,115,4,94,0.052467,0.000195,0.000015,0.000335,0.0530128,0.076607,0.12962
3,eager,1000000,100000,10000,1000,normal,5882,17,6,1161275,1161270,115,4,94,0.052488,0.000207,0.000015,0.000345,0.0530543,0.0766484,0.129703
4,eager,1000000,100000,10000,1000,normal,5882,17,6,1161275,1161270,115,4,94,0.051926,0.000180,0.000015,0.000356,0.0524774,0.0756716,0.128149
0,eager,1000000,100000,10000,10000,normal,6666,15,6,2487477,2487455,37,10,23,0.118905,0.000134,0.000008,0.000224,0.119271,0.145583,0.264855
1,eager,1000000,100000,10000,10000,normal,6666,15,6,2487477,2487455,37,10,23,0.118665,0.000131,0.000008,0.000219,0.119023,0.145999,0.265022
2,eager,1000000,100000,10000,10000,normal,6666,15,6,2487477,2487455,37,10,23,0.119356,0.000132,0.000008,0.000221,0.119717,0.146987,0.266704
3,eager,1000000,100000,10000,10000,normal,6666,15,6,2487477,2487455,37,10,23,0.127513,0.000132,0.000009,0.000220,0.127873,0.145395,0.273268
4,eager,1000000,100000,10000,10000,normal,6666,15,6,2487477,2487455,37,10,23,0.119234,0.000326,0.000008,0.000357,0.119926,0.144933,0.264859
