iter,distribution,num queries,strategy,domain,leaf size,range size,num leafs,avg,min,max,tree building,query indexing,post filtering,db execution,total time
0,normal,10000,lazy,1000000,100000,100000,16,62497,50218,79101,0.00343914,0.00192543,18.9857,0.352915,19.344
1,normal,10000,lazy,1000000,100000,100000,16,62497,50218,79101,0.00322994,0.00190072,18.9881,0.365571,19.3588
2,normal,10000,lazy,1000000,100000,100000,16,62497,50218,79101,0.00318252,0.00184489,19.108,0.357276,19.4703
3,normal,10000,lazy,1000000,100000,100000,16,62497,50218,79101,0.00329274,0.00189495,19.0954,0.351618,19.4522
4,normal,10000,lazy,1000000,100000,100000,16,62497,50218,79101,0.00755941,0.00413191,19.0386,0.380054,19.4304
0,normal,10000,eager,1000000,100000,100000,16,62497,50218,79101,0.00286844,0.00229904,19.0718,0.354679,19.4316
1,normal,10000,eager,1000000,100000,100000,16,62497,50218,79101,0.00756691,0.00553453,19.1239,0.383912,19.521
2,normal,10000,eager,1000000,100000,100000,16,62497,50218,79101,0.00318523,0.00261327,19.0989,0.354824,19.4595
3,normal,10000,eager,1000000,100000,100000,16,62497,50218,79101,0.00317334,0.00252515,19.0618,0.354834,19.4223
4,normal,10000,eager,1000000,100000,100000,16,62497,50218,79101,0.00318019,0.00247443,19.1004,0.356794,19.4628
0,normal,10000,additional,1000000,100000,100000,16,62497,50218,79101,0.00387721,0.000857756,19.0173,0.353619,19.3757
1,normal,10000,additional,1000000,100000,100000,16,62497,50218,79101,0.00358078,0.000857381,19.0607,0.352857,19.418
2,normal,10000,additional,1000000,100000,100000,16,62497,50218,79101,0.00362299,0.000837661,19.3072,0.354699,19.6664
3,normal,10000,additional,1000000,100000,100000,16,62497,50218,79101,0.00397832,0.000875338,19.0083,0.353719,19.3669
4,normal,10000,additional,1000000,100000,100000,16,62497,50218,79101,0.00377889,0.000833112,19.0311,0.351985,19.3877
0,normal,100000,lazy,1000000,100000,100000,16,62498,50218,79101,0.0414661,0.0215146,189.996,0.352575,190.412
1,normal,100000,lazy,1000000,100000,100000,16,62498,50218,79101,0.0407458,0.0204749,189.92,0.351892,190.333
2,normal,100000,lazy,1000000,100000,100000,16,62498,50218,79101,0.0410005,0.021096,190.899,0.366787,191.328
3,normal,100000,lazy,1000000,100000,100000,16,62498,50218,79101,0.0412296,0.0209079,194.607,0.359275,195.028
4,normal,100000,lazy,1000000,100000,100000,16,62498,50218,79101,0.0394719,0.0198961,194.787,0.382574,195.229
0,normal,100000,eager,1000000,100000,100000,16,62498,50218,79101,0.0378842,0.0253904,195.338,0.361847,195.763
1,normal,100000,eager,1000000,100000,100000,16,62498,50218,79101,0.0385938,0.0262326,195.663,0.36404,196.092
2,normal,100000,eager,1000000,100000,100000,16,62498,50218,79101,0.0165904,0.0113486,194.981,0.361952,195.371
3,normal,100000,eager,1000000,100000,100000,16,62498,50218,79101,0.0381162,0.0257172,190.889,0.353621,191.306
4,normal,100000,eager,1000000,100000,100000,16,62498,50218,79101,0.0395838,0.0263156,192.245,0.353907,192.665
0,normal,100000,additional,1000000,100000,100000,16,62498,50218,79101,0.0448488,0.0101445,190.183,0.350662,190.589
1,normal,100000,additional,1000000,100000,100000,16,62498,50218,79101,0.0453111,0.0102614,190.406,0.351621,190.813
2,normal,100000,additional,1000000,100000,100000,16,62498,50218,79101,0.0173324,0.00910514,189.902,0.350818,190.279
3,normal,100000,additional,1000000,100000,100000,16,62498,50218,79101,0.0452665,0.0102829,190.164,0.351469,190.571
4,normal,100000,additional,1000000,100000,100000,16,62498,50218,79101,0.0453402,0.0103856,190.127,0.352374,190.535
