iter,queries,old rocks db,ram duck db, ram rocks db,ram sqlite3 db
0,10,0.305076,0.0811076,0.218719,0.107485
0,100,3.01068,0.723981,2.211990,1.01687
0,1000,29.5996,7.10335,23.016450,10.1806
0,10000,297.119,70.7468,214.950000,101.495
0,100000,2962.54,710.008,2196.975000,1014.81
0,1000000,29947.24,7075.43,21748.3400,10165.52
