iter,strategy,num queries,domain size,leaf size,range size,distribution,avg node length,# leaf nodes,max tree depth,queries indexed,insert ops,transfer ops,share ops,merge ops,insert time,transfer time,share time,merge time,mapping time,tree time,total time
4,lazy,10000,1000000,100000,100000,normal,62497,16,6,25747,25664,32,12,17,0.001006,0.000007,0.000012,0.000037,0.00106252,0.00156419,0.00262671
0,lazy,100000,1000000,100000,100000,normal,62498,16,6,257633,257550,34,12,19,0.010131,0.000011,0.000014,0.000088,0.0102438,0.0157229,0.0259667
1,lazy,100000,1000000,100000,100000,normal,62498,16,6,257633,257550,34,12,19,0.010204,0.000009,0.000012,0.000088,0.010313,0.0155778,0.0258908
2,lazy,100000,1000000,100000,100000,normal,62498,16,6,257633,257550,34,12,19,0.010253,0.000010,0.000013,0.000091,0.0103666,0.0156757,0.0260423
3,lazy,100000,1000000,100000,100000,normal,62498,16,6,257633,257550,34,12,19,0.010423,0.000013,0.000012,0.000099,0.010548,0.0157554,0.0263034
4,lazy,100000,1000000,100000,100000,normal,62498,16,6,257633,257550,34,12,19,0.010362,0.000021,0.000014,0.000094,0.0104904,0.015919,0.0264094
0,lazy,1000000,1000000,100000,100000,normal,62499,16,6,2577977,2577894,37,12,22,0.102661,0.000102,0.000020,0.000866,0.103649,0.156034,0.259683
1,lazy,1000000,1000000,100000,100000,normal,62499,16,6,2577977,2577894,37,12,22,0.102299,0.000069,0.000012,0.000850,0.10323,0.155317,0.258548
2,lazy,1000000,1000000,100000,100000,normal,62499,16,6,2577977,2577894,37,12,22,0.102422,0.000071,0.000012,0.000850,0.103354,0.154454,0.257808
3,lazy,1000000,1000000,100000,100000,normal,62499,16,6,2577977,2577894,37,12,22,0.103048,0.000066,0.000012,0.000830,0.103956,0.153311,0.257268
4,lazy,1000000,1000000,100000,100000,normal,62499,16,6,2577977,2577894,37,12,22,0.101714,0.000069,0.000012,0.000839,0.102636,0.153196,0.255831
0,lazy,10000000,1000000,100000,100000,normal,62499,16,6,25780780,25780697,38,12,23,1.003650,0.000150,0.000012,0.001597,1.00541,1.51744,2.52285
1,lazy,10000000,1000000,100000,100000,normal,62499,16,6,25780780,25780697,38,12,23,1.002787,0.000147,0.000013,0.001612,1.00456,1.52842,2.53298
2,lazy,10000000,1000000,100000,100000,normal,62499,16,6,25780780,25780697,38,12,23,1.003893,0.000147,0.000012,0.001600,1.00565,1.51991,2.52556
3,lazy,10000000,1000000,100000,100000,normal,62499,16,6,25780780,25780697,38,12,23,1.004482,0.000148,0.000015,0.001621,1.00627,1.51338,2.51965
4,lazy,10000000,1000000,100000,100000,normal,62499,16,6,25780780,25780697,38,12,23,1.001423,0.000150,0.000012,0.001571,1.00316,1.51304,2.5162
0,lazy,100000000,1000000,100000,100000,normal,62499,16,6,257800728,257800645,38,12,23,10.493487,0.000149,0.000012,0.001593,10.4952,15.2267,25.7219
1,lazy,100000000,1000000,100000,100000,normal,62499,16,6,257800728,257800645,38,12,23,10.523808,0.000149,0.000014,0.001571,10.5255,19.1968,29.7223
2,lazy,100000000,1000000,100000,100000,normal,62499,16,6,257800728,257800645,38,12,23,10.479441,0.000145,0.000012,0.001571,10.4812,15.175,25.6562
3,lazy,100000000,1000000,100000,100000,normal,62499,16,6,257800728,257800645,38,12,23,10.587503,0.000129,0.000012,0.001572,10.5892,15.2391,25.8283
4,lazy,100000000,1000000,100000,100000,normal,62499,16,6,257800728,257800645,38,12,23,10.468422,0.000145,0.000012,0.001570,10.4701,15.1775,25.6477
0,eager,1000,1000000,100000,100000,normal,62411,16,6,2587,2543,27,12,12,0.000134,0.000009,0.000016,0.000009,0.000168359,0.000160706,0.000329065
1,eager,1000,1000000,100000,100000,normal,62411,16,6,2587,2543,27,12,12,0.000134,0.000008,0.000016,0.000009,0.000166687,0.000160121,0.000326808
2,eager,1000,1000000,100000,100000,normal,62411,16,6,2587,2543,27,12,12,0.000135,0.000008,0.000016,0.000009,0.000167623,0.000158536,0.000326159
3,eager,1000,1000000,100000,100000,normal,62411,16,6,2587,2543,27,12,12,0.000139,0.000008,0.000016,0.000009,0.000172215,0.000159142,0.000331357
4,eager,1000,1000000,100000,100000,normal,62411,16,6,2587,2543,27,12,12,0.000132,0.000008,0.000016,0.000009,0.000164846,0.000159516,0.000324362
0,eager,10000,1000000,100000,100000,normal,62497,16,6,25708,25664,32,12,17,0.001188,0.000034,0.000015,0.000058,0.0012955,0.00157005,0.00286555
1,eager,10000,1000000,100000,100000,normal,62497,16,6,25708,25664,32,12,17,0.001193,0.000034,0.000016,0.000058,0.00130126,0.00154956,0.00285081
2,eager,10000,1000000,100000,100000,normal,62497,16,6,25708,25664,32,12,17,0.001186,0.000034,0.000016,0.000058,0.00129279,0.00153567,0.00282846
3,eager,10000,1000000,100000,100000,normal,62497,16,6,25708,25664,32,12,17,0.001145,0.000034,0.000016,0.000058,0.00125193,0.00152217,0.0027741
4,eager,10000,1000000,100000,100000,normal,62497,16,6,25708,25664,32,12,17,0.001140,0.000034,0.000015,0.000058,0.00124696,0.00152357,0.00277054
0,eager,100000,1000000,100000,100000,normal,62498,16,6,257594,257550,34,12,19,0.011667,0.000111,0.000016,0.000172,0.0119651,0.0154649,0.02743
1,eager,100000,1000000,100000,100000,normal,62498,16,6,257594,257550,34,12,19,0.011590,0.000104,0.000016,0.000171,0.0118811,0.0154135,0.0272946
2,eager,100000,1000000,100000,100000,normal,62498,16,6,257594,257550,34,12,19,0.011773,0.000104,0.000016,0.000175,0.0120678,0.0155198,0.0275876
3,eager,100000,1000000,100000,100000,normal,62498,16,6,257594,257550,34,12,19,0.011753,0.000106,0.000016,0.000176,0.012051,0.0155866,0.0276376
4,eager,100000,1000000,100000,100000,normal,62498,16,6,257594,257550,34,12,19,0.011790,0.000106,0.000020,0.000175,0.0120916,0.0159384,0.02803
0,eager,1000000,1000000,100000,100000,normal,62499,16,6,2577938,2577894,37,12,22,0.119540,0.002003,0.000016,0.002766,0.124325,0.152835,0.277161
1,eager,1000000,1000000,100000,100000,normal,62499,16,6,2577938,2577894,37,12,22,0.118899,0.001950,0.000016,0.002750,0.123615,0.152256,0.275871
2,eager,1000000,1000000,100000,100000,normal,62499,16,6,2577938,2577894,37,12,22,0.127802,0.001962,0.000016,0.002673,0.132454,0.166947,0.299401
3,eager,1000000,1000000,100000,100000,normal,62499,16,6,2577938,2577894,37,12,22,0.122998,0.001946,0.000017,0.002672,0.127632,0.153168,0.2808
4,eager,1000000,1000000,100000,100000,normal,62499,16,6,2577938,2577894,37,12,22,0.119107,0.001967,0.000016,0.002689,0.123779,0.151576,0.275354
0,eager,10000000,1000000,100000,100000,normal,62499,16,6,25780741,25780697,38,12,23,1.369485,0.003725,0.000016,0.005191,1.37842,1.52019,2.89861
1,eager,10000000,1000000,100000,100000,normal,62499,16,6,25780741,25780697,38,12,23,1.290771,0.003782,0.000016,0.005312,1.29988,1.52915,2.82904
2,eager,10000000,1000000,100000,100000,normal,62499,16,6,25780741,25780697,38,12,23,1.290629,0.003730,0.000016,0.005184,1.29956,1.55892,2.85847
3,eager,10000000,1000000,100000,100000,normal,62499,16,6,25780741,25780697,38,12,23,1.291113,0.003790,0.000016,0.005175,1.30009,1.543,2.8431
4,eager,10000000,1000000,100000,100000,normal,62499,16,6,25780741,25780697,38,12,23,1.291604,0.003743,0.000017,0.005240,1.3006,1.52021,2.82081
0,eager,100000000,1000000,100000,100000,normal,62499,16,6,257800689,257800645,38,12,23,13.537147,0.003655,0.000016,0.005178,13.546,15.5851,29.1311
1,eager,100000000,1000000,100000,100000,normal,62499,16,6,257800689,257800645,38,12,23,13.581200,0.003748,0.000016,0.005362,13.5903,15.2168,28.8071
2,eager,100000000,1000000,100000,100000,normal,62499,16,6,257800689,257800645,38,12,23,13.519376,0.003689,0.000016,0.005116,13.5282,15.1597,28.6879
3,eager,100000000,1000000,100000,100000,normal,62499,16,6,257800689,257800645,38,12,23,13.534251,0.003691,0.000016,0.005066,13.543,15.1843,28.7274
4,eager,100000000,1000000,100000,100000,normal,62499,16,6,257800689,257800645,38,12,23,13.532603,0.003755,0.000016,0.005210,13.5416,15.1718,28.7134
