iter,strategy,num queries,domain size,leaf size,range size,distribution,queries indexed,insert ops,transfer ops,share ops,merge ops,insert time,transfer time,share time,merge time,mapping time,tree time,total time
0,eager,100000,1000000,100000,100000,normal,257594,257550,34,12,19,0.011823,0.000111,0.000016,0.000180,0.0121303,0.0160266,0.0281569
1,eager,100000,1000000,100000,100000,normal,257594,257550,34,12,19,0.011974,0.000129,0.000016,0.000183,0.0123015,0.0158051,0.0281066
2,eager,100000,1000000,100000,100000,normal,257594,257550,34,12,19,0.012804,0.000169,0.000017,0.000201,0.0131899,0.0160691,0.029259
3,eager,100000,1000000,100000,100000,normal,257594,257550,34,12,19,0.012471,0.000212,0.000016,0.000258,0.0129565,0.0159224,0.0288789
4,eager,100000,1000000,100000,100000,normal,257594,257550,34,12,19,0.012403,0.000113,0.000016,0.000182,0.0127143,0.0159924,0.0287067
0,additional,1000000,1000000,100000,100000,normal,2577938,0,0,0,0,0,0,0,0,0.0928296,0.156164,0.294324
1,additional,1000000,1000000,100000,100000,normal,2577938,0,0,0,0,0,0,0,0,0.0928569,0.156789,0.295014
2,additional,1000000,1000000,100000,100000,normal,2577938,0,0,0,0,0,0,0,0,0.0937613,0.15643,0.295739
3,additional,1000000,1000000,100000,100000,normal,2577938,0,0,0,0,0,0,0,0,0.0930487,0.157263,0.295598
4,additional,1000000,1000000,100000,100000,normal,2577938,0,0,0,0,0,0,0,0,0.0925664,0.155462,0.293132
0,lazy,1000000,1000000,100000,100000,normal,2577977,2577894,37,12,22,0.102981,0.000117,0.000012,0.000950,0.104061,0.15715,0.261211
1,lazy,1000000,1000000,100000,100000,normal,2577977,2577894,37,12,22,0.101678,0.000074,0.000012,0.000857,0.102621,0.154091,0.256712
2,lazy,1000000,1000000,100000,100000,normal,2577977,2577894,37,12,22,0.104092,0.000071,0.000013,0.000887,0.105063,0.155663,0.260726
3,lazy,1000000,1000000,100000,100000,normal,2577977,2577894,37,12,22,0.101842,0.000070,0.000012,0.000854,0.102778,0.155207,0.257985
4,lazy,1000000,1000000,100000,100000,normal,2577977,2577894,37,12,22,0.101836,0.000066,0.000012,0.000860,0.102774,0.156299,0.259073
0,eager,1000000,1000000,100000,100000,normal,2577938,2577894,37,12,22,0.120408,0.001977,0.000017,0.002714,0.125115,0.156485,0.2816
1,eager,1000000,1000000,100000,100000,normal,2577938,2577894,37,12,22,0.121381,0.002308,0.000017,0.002987,0.126694,0.15669,0.283383
2,eager,1000000,1000000,100000,100000,normal,2577938,2577894,37,12,22,0.120664,0.002063,0.000018,0.002689,0.125433,0.155915,0.281349
3,eager,1000000,1000000,100000,100000,normal,2577938,2577894,37,12,22,0.121605,0.002238,0.000016,0.002957,0.126817,0.155976,0.282793
4,eager,1000000,1000000,100000,100000,normal,2577938,2577894,37,12,22,0.120546,0.002003,0.000016,0.002711,0.125276,0.155531,0.280807
0,additional,10000000,1000000,100000,100000,normal,25780741,0,0,0,0,0,0,0,0,0.929033,1.55261,2.92766
1,additional,10000000,1000000,100000,100000,normal,25780741,0,0,0,0,0,0,0,0,0.927399,1.53551,2.90967
2,additional,10000000,1000000,100000,100000,normal,25780741,0,0,0,0,0,0,0,0,0.931146,1.53094,2.90786
3,additional,10000000,1000000,100000,100000,normal,25780741,0,0,0,0,0,0,0,0,0.945545,1.55204,2.94421
4,additional,10000000,1000000,100000,100000,normal,25780741,0,0,0,0,0,0,0,0,0.942185,1.53697,2.92647
