iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time
0,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,10000000,100,10,100190,0,0,0,0,0,0,0,0,0.00938794,0,0.00749476,0.0168827
1,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,10000000,100,10,100190,0,0,0,0,0,0,0,0,0.00900658,0,0.00708197,0.0160885
2,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,10000000,100,10,100190,0,0,0,0,0,0,0,0,0.00908299,0,0.00705529,0.0161383
3,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,10000000,100,10,100190,0,0,0,0,0,0,0,0,0.00906744,0,0.00729732,0.0163648
4,additional,normal,100000,1000000000,10000000,10000,10000,10000,10000,10000000,100,10,100190,0,0,0,0,0,0,0,0,0.00904054,0,0.00723877,0.0162793
0,additional,normal,100000,1000000000,10000000,100000,100000,100000,100000,10000000,100,10,101101,0,0,0,0,0,0,0,0,0.0096486,0,0.00723373,0.0168823
1,additional,normal,100000,1000000000,10000000,100000,100000,100000,100000,10000000,100,10,101101,0,0,0,0,0,0,0,0,0.00942734,0,0.00730823,0.0167356
2,additional,normal,100000,1000000000,10000000,100000,100000,100000,100000,10000000,100,10,101101,0,0,0,0,0,0,0,0,0.0090487,0,0.0073148,0.0163635
3,additional,normal,100000,1000000000,10000000,100000,100000,100000,100000,10000000,100,10,101101,0,0,0,0,0,0,0,0,0.00925526,0,0.00739645,0.0166517
4,additional,normal,100000,1000000000,10000000,100000,100000,100000,100000,10000000,100,10,101101,0,0,0,0,0,0,0,0,0.00913845,0,0.00725268,0.0163911
0,additional,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,10000000,100,10,110026,0,0,0,0,0,0,0,0,0.00984706,0,0.00771129,0.0175584
1,additional,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,10000000,100,10,110026,0,0,0,0,0,0,0,0,0.00977285,0,0.00765685,0.0174297
2,additional,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,10000000,100,10,110026,0,0,0,0,0,0,0,0,0.00995114,0,0.00768015,0.0176313
3,additional,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,10000000,100,10,110026,0,0,0,0,0,0,0,0,0.00982609,0,0.00764846,0.0174746
4,additional,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,10000000,100,10,110026,0,0,0,0,0,0,0,0,0.0100123,0,0.00769796,0.0177103
0,additional,normal,100000,1000000000,10000000,10000000,10000000,10000000,10000000,10000000,100,10,200100,0,0,0,0,0,0,0,0,0.0166894,0,0.00958791,0.0262773
1,additional,normal,100000,1000000000,10000000,10000000,10000000,10000000,10000000,10000000,100,10,200100,0,0,0,0,0,0,0,0,0.0169603,0,0.00973997,0.0267003
2,additional,normal,100000,1000000000,10000000,10000000,10000000,10000000,10000000,10000000,100,10,200100,0,0,0,0,0,0,0,0,0.016738,0,0.00985154,0.0265895
3,additional,normal,100000,1000000000,10000000,10000000,10000000,10000000,10000000,10000000,100,10,200100,0,0,0,0,0,0,0,0,0.0166741,0,0.00974162,0.0264157
4,additional,normal,100000,1000000000,10000000,10000000,10000000,10000000,10000000,10000000,100,10,200100,0,0,0,0,0,0,0,0,0.0166002,0,0.00976402,0.0263642
0,lazy,normal,100000,1000000000,10000000,10000,10000,10000,10000,10000000,100,10,100350,100190,99,63,0,0.004165,0.000016,0.000028,0.000000,0.00925808,0.00420932,0,0.0134674
1,lazy,normal,100000,1000000000,10000000,10000,10000,10000,10000,10000000,100,10,100350,100190,99,63,0,0.004131,0.000016,0.000028,0.000000,0.00934063,0.00417467,0,0.0135153
2,lazy,normal,100000,1000000000,10000000,10000,10000,10000,10000,10000000,100,10,100350,100190,99,63,0,0.004155,0.000016,0.000028,0.000000,0.00920666,0.00419902,0,0.0134057
3,lazy,normal,100000,1000000000,10000000,10000,10000,10000,10000,10000000,100,10,100350,100190,99,63,0,0.004218,0.000016,0.000027,0.000000,0.00990695,0.00426058,0,0.0141675
4,lazy,normal,100000,1000000000,10000000,10000,10000,10000,10000,10000000,100,10,100350,100190,99,63,0,0.004153,0.000016,0.000028,0.000000,0.0091825,0.00419622,0,0.0133787
0,lazy,normal,100000,1000000000,10000000,100000,100000,100000,100000,10000000,100,10,101261,101101,99,63,0,0.004066,0.000022,0.000042,0.000000,0.00935111,0.00412959,0,0.0134807
1,lazy,normal,100000,1000000000,10000000,100000,100000,100000,100000,10000000,100,10,101261,101101,99,63,0,0.004096,0.000016,0.000031,0.000000,0.00939333,0.00414268,0,0.013536
2,lazy,normal,100000,1000000000,10000000,100000,100000,100000,100000,10000000,100,10,101261,101101,99,63,0,0.004543,0.000016,0.000028,0.000000,0.00963215,0.00458703,0,0.0142192
3,lazy,normal,100000,1000000000,10000000,100000,100000,100000,100000,10000000,100,10,101261,101101,99,63,0,0.004201,0.000016,0.000028,0.000000,0.00946735,0.00424514,0,0.0137125
4,lazy,normal,100000,1000000000,10000000,100000,100000,100000,100000,10000000,100,10,101261,101101,99,63,0,0.004158,0.000016,0.000028,0.000000,0.00922982,0.00420251,0,0.0134323
0,lazy,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,10000000,100,10,110186,110026,99,63,0,0.004762,0.000016,0.000028,0.000000,0.0107792,0.00480544,0,0.0155847
1,lazy,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,10000000,100,10,110186,110026,99,63,0,0.004700,0.000016,0.000028,0.000000,0.0102547,0.0047445,0,0.0149992
2,lazy,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,10000000,100,10,110186,110026,99,63,0,0.004661,0.000016,0.000027,0.000000,0.0101622,0.0047052,0,0.0148674
3,lazy,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,10000000,100,10,110186,110026,99,63,0,0.004641,0.000016,0.000028,0.000000,0.010147,0.00468524,0,0.0148322
4,lazy,normal,100000,1000000000,10000000,1000000,1000000,1000000,1000000,10000000,100,10,110186,110026,99,63,0,0.004615,0.000016,0.000028,0.000000,0.0101415,0.00465835,0,0.0147999
0,lazy,normal,100000,1000000000,10000000,10000000,10000000,10000000,10000000,10000000,100,10,200260,200100,99,63,0,0.008245,0.000016,0.000027,0.000000,0.0167436,0.00828814,0,0.0250317
1,lazy,normal,100000,1000000000,10000000,10000000,10000000,10000000,10000000,10000000,100,10,200260,200100,99,63,0,0.008222,0.000016,0.000027,0.000000,0.016832,0.00826535,0,0.0250974
2,lazy,normal,100000,1000000000,10000000,10000000,10000000,10000000,10000000,10000000,100,10,200260,200100,99,63,0,0.008517,0.000016,0.000030,0.000000,0.0175731,0.00856189,0,0.026135
3,lazy,normal,100000,1000000000,10000000,10000000,10000000,10000000,10000000,10000000,100,10,200260,200100,99,63,0,0.008323,0.000016,0.000028,0.000000,0.0170669,0.00836684,0,0.0254338
4,lazy,normal,100000,1000000000,10000000,10000000,10000000,10000000,10000000,10000000,100,10,200260,200100,99,63,0,0.008676,0.000016,0.000028,0.000000,0.0173591,0.00872012,0,0.0260792
0,eager,normal,100000,1000000000,10000000,10000,10000,10000,10000,10000000,100,10,100190,100190,99,63,0,0.005062,0.000020,0.000029,0.000000,0.00918334,0.00511028,0,0.0142936
1,eager,normal,100000,1000000000,10000000,10000,10000,10000,10000,10000000,100,10,100190,100190,99,63,0,0.005143,0.000019,0.000029,0.000000,0.00954527,0.00519044,0,0.0147357
2,eager,normal,100000,1000000000,10000000,10000,10000,10000,10000,10000000,100,10,100190,100190,99,63,0,0.004814,0.000019,0.000027,0.000000,0.0091213,0.00485982,0,0.0139811
3,eager,normal,100000,1000000000,10000000,10000,10000,10000,10000,10000000,100,10,100190,100190,99,63,0,0.004907,0.000018,0.000027,0.000000,0.00911949,0.00495292,0,0.0140724
4,eager,normal,100000,1000000000,10000000,10000,10000,10000,10000,10000000,100,10,100190,100190,99,63,0,0.005090,0.000019,0.000027,0.000000,0.0093333,0.00513706,0,0.0144704
0,eager,normal,100000,1000000000,10000000,100000,100000,100000,100000,10000000,100,10,101101,101101,99,63,0,0.005376,0.000019,0.000028,0.000000,0.00961577,0.00542261,0,0.0150384
1,eager,normal,100000,1000000000,10000000,100000,100000,100000,100000,10000000,100,10,101101,101101,99,63,0,0.004965,0.000019,0.000028,0.000000,0.00923091,0.00501205,0,0.014243
