iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,mapping + tree building time
3,additional,normal,100000,1000000000,1000000000,10000,10000,10000,10000,18671,35222,32,102911,0,0,0,0,0,0,0,0,0.0466417,0,0.0350328,0.0816745
4,additional,normal,100000,1000000000,1000000000,10000,10000,10000,10000,18671,35222,32,102911,0,0,0,0,0,0,0,0,0.0448098,0,0.0361474,0.0809572
0,lazy,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1262312,1068765,653827,553478,560,0.203116,0.213703,0.192902,0.000278,0.63422,0.609998,0,1.24422
1,lazy,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1262312,1068765,653827,553478,560,0.212329,0.219377,0.194543,0.000294,0.645524,0.626543,0,1.27207
2,lazy,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1262312,1068765,653827,553478,560,0.206884,0.219539,0.193379,0.000312,0.642361,0.620114,0,1.26247
3,lazy,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1262312,1068765,653827,553478,560,0.207066,0.217537,0.192781,0.000278,0.638184,0.617662,0,1.25585
4,lazy,normal,100000,1000000000,1000,10000,10000,10000,10000,960,653268,190,1262312,1068765,653827,553478,560,0.211181,0.219266,0.191623,0.000273,0.6387,0.622344,0,1.26104
0,lazy,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,224106,126107,89092,39370,6803,0.017123,0.028084,0.016429,0.002527,0.06232,0.064163,0,0.126483
1,lazy,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,224106,126107,89092,39370,6803,0.017266,0.026380,0.016597,0.002489,0.0622454,0.0627316,0,0.124977
2,lazy,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,224106,126107,89092,39370,6803,0.019204,0.028237,0.016740,0.002637,0.0654332,0.0668178,0,0.132251
3,lazy,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,224106,126107,89092,39370,6803,0.019076,0.029359,0.017466,0.002625,0.0660533,0.0685258,0,0.134579
4,lazy,normal,100000,1000000000,10000,10000,10000,10000,10000,7624,82290,35,224106,126107,89092,39370,6803,0.017168,0.026227,0.016706,0.002532,0.0620912,0.0626328,0,0.124724
0,lazy,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107532,107444,88559,9,49475,0.012907,0.024397,0.000024,0.017625,0.052476,0.0549525,0,0.107429
1,lazy,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107532,107444,88559,9,49475,0.013325,0.024949,0.000023,0.017941,0.0535127,0.0562385,0,0.109751
2,lazy,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107532,107444,88559,9,49475,0.014686,0.025968,0.000025,0.018228,0.0559631,0.0589061,0,0.114869
3,lazy,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107532,107444,88559,9,49475,0.012818,0.023807,0.000023,0.018213,0.0528033,0.0548606,0,0.107664
4,lazy,normal,100000,1000000000,100000,10000,10000,10000,10000,16663,38080,32,107532,107444,88559,9,49475,0.012678,0.023098,0.000021,0.017927,0.0518388,0.0537242,0,0.105563
0,lazy,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.013424,0.025163,0.000000,0.018350,0.0536561,0.0569375,0,0.110594
1,lazy,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.012123,0.022594,0.000000,0.018024,0.0507468,0.0527406,0,0.103487
2,lazy,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.012025,0.022701,0.000000,0.017833,0.0508747,0.052559,0,0.103434
3,lazy,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.012271,0.022802,0.000000,0.017876,0.050425,0.0529491,0,0.103374
4,lazy,normal,100000,1000000000,1000000,10000,10000,10000,10000,18289,35701,32,107131,107131,87111,0,48685,0.014340,0.026278,0.000000,0.018797,0.0559353,0.0594149,0,0.11535
0,lazy,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.012805,0.023583,0.000000,0.018351,0.0519433,0.0547393,0,0.106683
1,lazy,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.013020,0.024242,0.000000,0.018321,0.0526299,0.0555836,0,0.108213
2,lazy,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.012313,0.022797,0.000000,0.018097,0.0509836,0.0532078,0,0.104191
3,lazy,normal,100000,1000000000,10000000,10000,10000,10000,10000,18671,35222,32,107072,107072,86760,0,48400,0.012396,0.022738,0.000000,0.018160,0.0507972,0.0532939,0,0.104091
