iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time,total time
0,additional,normal,100000,1000000,1000,100000,100000,100000,100000,984,1016,229,10199112,0,0,0,0,0,0,0,0,6.81632,0,0.636341,7.45266
1,additional,normal,100000,1000000,1000,100000,100000,100000,100000,984,1016,229,10199112,0,0,0,0,0,0,0,0,6.83076,0,0.641217,7.47198
2,additional,normal,100000,1000000,1000,100000,100000,100000,100000,984,1016,229,10199112,0,0,0,0,0,0,0,0,6.81151,0,0.636666,7.44818
3,additional,normal,100000,1000000,1000,100000,100000,100000,100000,984,1016,229,10199112,0,0,0,0,0,0,0,0,6.82671,0,0.635323,7.46204
4,additional,normal,100000,1000000,1000,100000,100000,100000,100000,984,1016,229,10199112,0,0,0,0,0,0,0,0,6.79875,0,0.637166,7.43592
0,additional,normal,100000,1000000,10000,100000,100000,100000,100000,9090,110,25,1182525,0,0,0,0,0,0,0,0,0.240404,0,0.0419701,0.282374
1,additional,normal,100000,1000000,10000,100000,100000,100000,100000,9090,110,25,1182525,0,0,0,0,0,0,0,0,0.239793,0,0.0410306,0.280823
2,additional,normal,100000,1000000,10000,100000,100000,100000,100000,9090,110,25,1182525,0,0,0,0,0,0,0,0,0.240049,0,0.0419904,0.28204
3,additional,normal,100000,1000000,10000,100000,100000,100000,100000,9090,110,25,1182525,0,0,0,0,0,0,0,0,0.239098,0,0.0417786,0.280876
4,additional,normal,100000,1000000,10000,100000,100000,100000,100000,9090,110,25,1182525,0,0,0,0,0,0,0,0,0.239627,0,0.0413822,0.28101
0,additional,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,0,0,0,0,0,0,0,0,0.0155891,0,0.0100406,0.0256297
1,additional,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,0,0,0,0,0,0,0,0,0.0157713,0,0.00979735,0.0255686
2,additional,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,0,0,0,0,0,0,0,0,0.0158245,0,0.00977264,0.0255972
3,additional,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,0,0,0,0,0,0,0,0,0.0158109,0,0.00992136,0.0257322
4,additional,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,0,0,0,0,0,0,0,0,0.0158991,0,0.00990997,0.025809
0,additional,normal,100000,1000000,250000,100000,100000,100000,100000,166664,6,3,155405,0,0,0,0,0,0,0,0,0.00899403,0,0.0068505,0.0158445
1,additional,normal,100000,1000000,250000,100000,100000,100000,100000,166664,6,3,155405,0,0,0,0,0,0,0,0,0.00893719,0,0.00680637,0.0157436
2,additional,normal,100000,1000000,250000,100000,100000,100000,100000,166664,6,3,155405,0,0,0,0,0,0,0,0,0.00917153,0,0.00689327,0.0160648
3,additional,normal,100000,1000000,250000,100000,100000,100000,100000,166664,6,3,155405,0,0,0,0,0,0,0,0,0.00903559,0,0.00709316,0.0161288
4,additional,normal,100000,1000000,250000,100000,100000,100000,100000,166664,6,3,155405,0,0,0,0,0,0,0,0,0.00924671,0,0.0068147,0.0160614
0,additional,normal,100000,1000000,5000000,100000,100000,100000,100000,999989,1,0,100000,0,0,0,0,0,0,0,0,0.00454794,0,0.00479427,0.00934221
1,additional,normal,100000,1000000,5000000,100000,100000,100000,100000,999989,1,0,100000,0,0,0,0,0,0,0,0,0.00451761,0,0.00478233,0.00929994
2,additional,normal,100000,1000000,5000000,100000,100000,100000,100000,999989,1,0,100000,0,0,0,0,0,0,0,0,0.00455442,0,0.00480847,0.0093629
3,additional,normal,100000,1000000,5000000,100000,100000,100000,100000,999989,1,0,100000,0,0,0,0,0,0,0,0,0.0045602,0,0.00488074,0.00944095
4,additional,normal,100000,1000000,5000000,100000,100000,100000,100000,999989,1,0,100000,0,0,0,0,0,0,0,0,0.00452479,0,0.00474974,0.00927454
0,lazy,normal,100000,1000000,1000,100000,100000,100000,100000,984,1016,229,10199701,10199064,1020,966,5,0.545920,0.000136,0.000343,0.000008,7.07604,0.546406,0,7.62244
1,lazy,normal,100000,1000000,1000,100000,100000,100000,100000,984,1016,229,10199701,10199064,1020,966,5,0.531657,0.000147,0.000337,0.000009,7.0892,0.53215,0,7.62135
2,lazy,normal,100000,1000000,1000,100000,100000,100000,100000,984,1016,229,10199701,10199064,1020,966,5,0.534718,0.000133,0.000337,0.000008,7.09552,0.535197,0,7.63072
3,lazy,normal,100000,1000000,1000,100000,100000,100000,100000,984,1016,229,10199701,10199064,1020,966,5,0.552236,0.000137,0.000346,0.000008,7.11234,0.552727,0,7.66507
4,lazy,normal,100000,1000000,1000,100000,100000,100000,100000,984,1016,229,10199701,10199064,1020,966,5,0.537382,0.000132,0.000337,0.000008,7.09757,0.537859,0,7.63542
0,lazy,normal,100000,1000000,10000,100000,100000,100000,100000,9090,110,25,1182598,1182496,119,92,10,0.049846,0.000020,0.000038,0.000027,0.2455,0.0499315,0,0.295432
1,lazy,normal,100000,1000000,10000,100000,100000,100000,100000,9090,110,25,1182598,1182496,119,92,10,0.049939,0.000019,0.000037,0.000027,0.243551,0.0500216,0,0.293573
2,lazy,normal,100000,1000000,10000,100000,100000,100000,100000,9090,110,25,1182598,1182496,119,92,10,0.049758,0.000019,0.000037,0.000027,0.245339,0.0498411,0,0.29518
3,lazy,normal,100000,1000000,10000,100000,100000,100000,100000,9090,110,25,1182598,1182496,119,92,10,0.050139,0.000019,0.000037,0.000027,0.246178,0.050222,0,0.2964
4,lazy,normal,100000,1000000,10000,100000,100000,100000,100000,9090,110,25,1182598,1182496,119,92,10,0.050143,0.000019,0.000036,0.000027,0.245591,0.0502245,0,0.295815
0,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.010028,0.000010,0.000008,0.000190,0.0167269,0.0102367,0,0.0269636
1,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.009984,0.000011,0.000008,0.000189,0.0167947,0.0101915,0,0.0269862
2,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.010082,0.000011,0.000008,0.000231,0.0170341,0.0103324,0,0.0273664
3,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.010164,0.000012,0.000008,0.000189,0.0172212,0.0103733,0,0.0275945
4,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261147,261103,35,12,20,0.010015,0.000012,0.000008,0.000189,0.0167808,0.0102251,0,0.0270059
0,lazy,normal,100000,1000000,250000,100000,100000,100000,100000,166664,6,3,155411,155398,35,2,30,0.006054,0.000016,0.000003,0.000428,0.00901358,0.00650059,0,0.0155142
1,lazy,normal,100000,1000000,250000,100000,100000,100000,100000,166664,6,3,155411,155398,35,2,30,0.006089,0.000017,0.000003,0.000429,0.00950534,0.00653789,0,0.0160432
2,lazy,normal,100000,1000000,250000,100000,100000,100000,100000,166664,6,3,155411,155398,35,2,30,0.006260,0.000024,0.000003,0.000431,0.0090974,0.00671701,0,0.0158144
3,lazy,normal,100000,1000000,250000,100000,100000,100000,100000,166664,6,3,155411,155398,35,2,30,0.006121,0.000016,0.000003,0.000472,0.0092228,0.0066117,0,0.0158345
4,lazy,normal,100000,1000000,250000,100000,100000,100000,100000,166664,6,3,155411,155398,35,2,30,0.006267,0.000021,0.000003,0.000440,0.00923824,0.00673083,0,0.0159691
0,lazy,normal,100000,1000000,5000000,100000,100000,100000,100000,999989,1,0,100001,100001,31,0,29,0.003500,0.000177,0.000000,0.002379,0.00457669,0.00605593,0,0.0106326
1,lazy,normal,100000,1000000,5000000,100000,100000,100000,100000,999989,1,0,100001,100001,31,0,29,0.003472,0.000173,0.000000,0.002357,0.00453188,0.00600261,0,0.0105345
2,lazy,normal,100000,1000000,5000000,100000,100000,100000,100000,999989,1,0,100001,100001,31,0,29,0.003528,0.000175,0.000000,0.002373,0.00456679,0.00607623,0,0.010643
3,lazy,normal,100000,1000000,5000000,100000,100000,100000,100000,999989,1,0,100001,100001,31,0,29,0.003542,0.000170,0.000000,0.002367,0.00569831,0.00607878,0,0.0117771
4,lazy,normal,100000,1000000,5000000,100000,100000,100000,100000,999989,1,0,100001,100001,31,0,29,0.003537,0.000180,0.000000,0.002397,0.00457786,0.00611352,0,0.0106914
0,eager,normal,100000,1000000,1000,100000,100000,100000,100000,984,1016,229,10199142,10199064,1020,966,5,0.653076,0.000185,0.000336,0.000011,7.14449,0.653608,0,7.7981
1,eager,normal,100000,1000000,1000,100000,100000,100000,100000,984,1016,229,10199142,10199064,1020,966,5,0.644138,0.000186,0.000336,0.000010,7.12423,0.644671,0,7.7689
2,eager,normal,100000,1000000,1000,100000,100000,100000,100000,984,1016,229,10199142,10199064,1020,966,5,0.645231,0.000192,0.000366,0.000011,7.1661,0.645799,0,7.8119
3,eager,normal,100000,1000000,1000,100000,100000,100000,100000,984,1016,229,10199142,10199064,1020,966,5,0.638355,0.000202,0.000338,0.000010,7.13719,0.638904,0,7.77609
4,eager,normal,100000,1000000,1000,100000,100000,100000,100000,984,1016,229,10199142,10199064,1020,966,5,0.655487,0.000190,0.000336,0.000010,7.16772,0.656023,0,7.82374
0,eager,normal,100000,1000000,10000,100000,100000,100000,100000,9090,110,25,1182547,1182496,119,92,10,0.060686,0.000071,0.000038,0.000051,0.244737,0.0608459,0,0.305583
1,eager,normal,100000,1000000,10000,100000,100000,100000,100000,9090,110,25,1182547,1182496,119,92,10,0.061373,0.000072,0.000037,0.000050,0.245277,0.0615324,0,0.30681
2,eager,normal,100000,1000000,10000,100000,100000,100000,100000,9090,110,25,1182547,1182496,119,92,10,0.060825,0.000073,0.000038,0.000051,0.246182,0.060987,0,0.307169
3,eager,normal,100000,1000000,10000,100000,100000,100000,100000,9090,110,25,1182547,1182496,119,92,10,0.060952,0.000074,0.000037,0.000051,0.245766,0.0611133,0,0.306879
4,eager,normal,100000,1000000,10000,100000,100000,100000,100000,9090,110,25,1182547,1182496,119,92,10,0.060946,0.000074,0.000038,0.000051,0.244668,0.0611089,0,0.305777
0,eager,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,261103,35,12,20,0.012621,0.000299,0.000008,0.000412,0.0160307,0.0133397,0,0.0293704
1,eager,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,261103,35,12,20,0.012688,0.000292,0.000008,0.000418,0.0161243,0.0134057,0,0.02953
2,eager,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,261103,35,12,20,0.012544,0.000298,0.000008,0.000544,0.0160607,0.0133937,0,0.0294543
3,eager,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,261103,35,12,20,0.012681,0.000319,0.000008,0.000425,0.0160671,0.0134334,0,0.0295005
4,eager,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,261103,35,12,20,0.012576,0.000313,0.000008,0.000418,0.0160764,0.0133149,0,0.0293913
0,eager,normal,100000,1000000,250000,100000,100000,100000,100000,166664,6,3,155405,155398,35,2,30,0.007220,0.000836,0.000002,0.001188,0.00904094,0.00924582,0,0.0182868
1,eager,normal,100000,1000000,250000,100000,100000,100000,100000,166664,6,3,155405,155398,35,2,30,0.007005,0.000677,0.000002,0.001094,0.00908292,0.00877905,0,0.017862
2,eager,normal,100000,1000000,250000,100000,100000,100000,100000,166664,6,3,155405,155398,35,2,30,0.007134,0.000667,0.000002,0.001092,0.00922838,0.00889427,0,0.0181227
3,eager,normal,100000,1000000,250000,100000,100000,100000,100000,166664,6,3,155405,155398,35,2,30,0.007364,0.000869,0.000002,0.001250,0.0091192,0.00948424,0,0.0186034
4,eager,normal,100000,1000000,250000,100000,100000,100000,100000,166664,6,3,155405,155398,35,2,30,0.007694,0.000845,0.000002,0.001132,0.00908571,0.00967322,0,0.0187589
0,eager,normal,100000,1000000,5000000,100000,100000,100000,100000,999989,1,0,100001,100001,31,0,29,0.004956,0.002953,0.000000,0.006430,0.00454788,0.0143393,0,0.0188872
1,eager,normal,100000,1000000,5000000,100000,100000,100000,100000,999989,1,0,100001,100001,31,0,29,0.005019,0.002772,0.000000,0.006333,0.00461058,0.0141241,0,0.0187347
2,eager,normal,100000,1000000,5000000,100000,100000,100000,100000,999989,1,0,100001,100001,31,0,29,0.005027,0.002908,0.000000,0.006343,0.00461828,0.0142771,0,0.0188953
3,eager,normal,100000,1000000,5000000,100000,100000,100000,100000,999989,1,0,100001,100001,31,0,29,0.004979,0.002979,0.000000,0.006929,0.00457236,0.0148868,0,0.0194591
4,eager,normal,100000,1000000,5000000,100000,100000,100000,100000,999989,1,0,100001,100001,31,0,29,0.005098,0.002921,0.000000,0.006389,0.00459811,0.014408,0,0.0190061
